section/core,section_m,d13C,d18O,d13C_org,d18O_org,TOC,lithology
C215,0.3,-8.7,-13,,,,limestone
C215,0.5,-8.6,-12.6,,,,limestone
C215,12.3,-8.8,-12.5,-23.9,15.1,0.011,limestone
C215,13.9,-8.7,-11.7,,,,limestone
C215,14.9,-8.6,-12.3,,,,limestone
C215,14.9,-8.5,-12.8,,,,limestone
C215,15.5,-8.5,-12.5,,,,limestone
C215,16.2,-8.4,-12.7,,,,limestone
C215,17.1,-8.6,-12.9,,,,limestone
C215,25,-8.6,-12.9,-26.4,17.7,0.005,limestone
C215,27.4,-8.6,-12.4,,,,limestone
C215,34.1,-8.2,-12.6,,,,limestone
C215,34.5,-8.2,-12.6,,,,limestone
C215,34.8,-8.1,-12.6,-25.4,17.3,0.005,limestone
C215,36.1,-8.6,-11.8,,,,limestone
C215,36.4,-8.7,-12.6,,,,limestone
C215,38.3,-9.5,-12.1,-24.4,14.9,0.016,limestone
C215,46.5,-8.5,-12.8,,,,limestone
C215,47.7,-8.7,-12.1,,,,limestone
C215,48.3,-8.8,-12.6,,,,limestone
C215,54.8,-8.4,-11.8,,,,limestone
C215,55.9,-8.6,-12.2,,,,limestone
C215,56.2,-8.8,-11.2,,,,limestone
C215,56.2,-8.3,-12.2,,,,limestone
C215,56.3,-8.8,-12.5,,,,limestone
C215,57.7,-8.3,-12.4,,,,limestone
C215,59.4,-9,-11.9,,,,limestone
C215,61.7,-8.6,-12.1,,,,limestone
C215,63.4,-9.7,-12.3,,,,limestone
C215,63.8,-8.8,-12.2,,,,limestone
C215,64.9,-9.5,-11.9,-23.2,13.7,0.013,limestone
C215,67.1,-8.6,-12.2,,,,limestone
C215,67.9,-8.5,-12.1,,,,limestone
C215,68.6,-8.8,-11.6,,,,limestone
C215,71.9,-8.1,-11.6,-23.9,15.8,0.013,limestone
C215,72.9,-8.7,-12.1,,,,limestone
C215,73.3,-8.3,-12,,,,limestone
C215,74.5,-8.2,-12.2,,,,limestone
C215,75.3,-8.1,-11.8,,,,limestone
C215,76.5,-8.2,-12.2,,,,limestone
C215,77,-8.3,-12.1,-26.4,18.2,0.007,limestone
C215,79.5,,,-26.2,,0.012,limestone
C215,77.3,-8.5,-12.1,,,,limestone
C215,80.5,-8.3,-11.2,,,,limestone
C215,81.2,-8.9,-10.3,,,,limestone
C215,81.5,-8.8,-11.9,,,,limestone
C215,82.3,-8.9,-12,-27.5,18.6,0.012,limestone
C215,82.6,-9.4,-11.7,,,,limestone
C215,87.3,-8.3,-11.7,,,,limestone
C215,89.4,-8.9,-11.5,,,,limestone
C215,91.5,-8.6,-11.3,,,,limestone
C215,93.7,-8.7,-11.9,,,,limestone
C215,94.6,-8.7,-11.9,,,,limestone
C215,97,-8.6,-11.9,,,,limestone
C215,98.2,-8.3,-11.7,,,,limestone
C215,99.2,-8.1,-11.7,,,,limestone
C215,100.1,-8.4,-11.8,,,,limestone
C215,100.7,-9.2,-11.4,,,,limestone
C215,101.4,-8.8,-11.3,-24.2,15.4,0.016,limestone
C215,103.8,-9.6,-11.6,,,,limestone
C215,106.5,-8.1,-11.1,,,,limestone
C215,107.4,-7.9,-10.6,,,,limestone
C215,108.3,-8.5,-9.4,,,,limestone
C215,109,-9.8,-7.7,-24.3,14.6,0.009,limestone
C215,117.8,-8.3,-11.4,,,,limestone
C215,118.4,-8.1,-10.8,,,,limestone
C215,122.4,-7.7,-11.3,,,,limestone
C215,124,-7.5,-11.3,,,,limestone
C215,124.8,-7.7,-11.2,,,,limestone
C215,125.8,-7.5,-10.9,,,,limestone
C215,126.6,-7.5,-9.5,,,,limestone
C215,127.1,-7.5,-8.9,-27.9,20.4,0.009,limestone
C215,127.8,-7.7,-10.5,,,,limestone
C215,128.6,-7.4,-8.5,,,,limestone
C215,129.8,-7.6,-8.5,,,,limestone
C215,130.8,-7.9,-9.6,,,,limestone
C215,131.6,-8,-8.9,,,,limestone
C215,132.5,-7.7,-8.7,,,,limestone
C215,133.1,-7.7,-9.1,,,,limestone
C215,134.2,-7.7,-8.6,,,,limestone
C215,135.2,-7.4,-10.2,,,,limestone
C215,136,-7.6,-10.4,,,,limestone
C215,136.8,-7.6,-10.2,,,,limestone
C215,137,-7.6,-9.8,-24.9,17.3,0.006,limestone
C215,138.1,-7.5,-9.1,,,,limestone
C215,138.6,-7.2,-10.2,,,,limestone
C215,139.6,-7.3,-10.2,-25,17.7,0.011,limestone
C215,142.7,-7.4,-10,,,,limestone
C215,148.3,-7.7,-8.6,-30.1,22.5,0.014,limestone
C215,149.5,-7.2,-9.9,,,,limestone
C215,150.2,-7.3,-9.9,,,,limestone
C215,152.2,-7.1,-9.2,,,,limestone
C215,153.8,-7.4,-8.8,,,,limestone
C215,155,-7.3,-8.6,-27,19.8,0.007,limestone
C215,155.7,-7.4,-7.6,,,,limestone
C215,156.4,-7.3,-9.2,,,,limestone
C215,156.7,-6.8,-9.4,,,,limestone
C215,157.2,-6.8,-9.3,,,,limestone
C215,157.7,-6.7,-9.5,,,,limestone
C215,158.5,-6.7,-9.6,,,,limestone
C215,159.9,-6.6,-9.6,-24.8,18.3,0.008,limestone
C215,160.5,-6.6,-9.5,,,,limestone
C215,161,-6.7,-9.3,,,,limestone
C215,162.3,-6.4,-9.6,,,,limestone
C215,162.9,-6.2,-9.6,,,,limestone
C215,165.7,-6.5,-9.5,-26,19.5,0.011,limestone
C215,166.4,-6.5,-9.7,,,,limestone
C215,167.3,-6.4,-9.5,,,,limestone
C215,167.6,-6.3,-9.4,,,,limestone
C215,168.4,-6.9,-9.5,-26.5,19.5,0.009,limestone
C215,169.8,-6.4,-9.5,,,,limestone
C215,170.5,-6.4,-9.4,,,,limestone
C215,171.4,-6.4,-9.6,,,,limestone
C215,172.4,-6.1,-9.4,,,,limestone
C215,173.1,-6.1,-9.6,,,,limestone
C215,174.1,-6.1,-9.5,,,,limestone
C215,175.1,-6.3,-9.7,,,,limestone
C215,175.3,-6,-9.6,,,,limestone
C215,175.4,-6.2,-9.5,-26.1,19.8,0.009,limestone
C215,176.5,-6,-9.6,,,,limestone
C215,177.8,-6,-9.6,,,,limestone
C215,179,-5.8,-9.4,,,,limestone
C215,180.6,-5.9,-9.6,,,,limestone
C215,181,-5.9,-9.6,,,,limestone
C215,181.3,-5.7,-8.7,,,,limestone
C215,182.4,-5.9,-8.8,,,,limestone
C215,183.6,-5.8,-8.6,,,,limestone
C215,184.6,-6.2,-9.4,-23.7,17.5,0.013,limestone
C215,185.3,-6.2,-9.6,,,,limestone
C215,186.3,-6.1,-9.4,,,,limestone
C215,187,-6.1,-9.5,,,,limestone
C215,188.4,-5.9,-9.5,-25.2,19.3,0.012,limestone
C215,189.7,-5.7,-9.6,,,,limestone
C215,190.6,-5.5,-9.3,,,,limestone
C215,191.7,-5.6,-9.5,,,,limestone
C215,192.5,-5.8,-9.3,,,,limestone
C215,193,-5.9,-9.4,,,,limestone
C215,193.3,-5.9,-9.5,-25.2,19.3,0.009,limestone
C215,194.1,-5.7,-9.6,,,,limestone
C215,195.1,-5.7,-8.1,,,,limestone
C215,196.8,-5.9,-9.3,-25.2,19.3,0.004,limestone
C215,197.1,-5.5,-9.4,,,,limestone
C215,197.6,-5.5,-9.6,,,,limestone
C215,198.8,-5.5,-9.6,,,,limestone
C215,199.7,-5.4,-8.9,,,,limestone
C215,200.8,-5.5,-9.6,-24.8,19.2,0.007,limestone
C215,201.7,-5.3,-9.4,,,,limestone
C215,201.9,-5.5,-9.1,,,,limestone
C215,203.1,-5.2,-9.1,,,,limestone
C215,204.1,-5.7,-8.7,,,,limestone
C215,205.1,-5.6,-8.9,,,,limestone
C215,206.6,-6.2,-8.2,,,,limestone
C215,206.7,-5.1,-9.1,-26.2,21.1,0.014,limestone
C215,207.5,-5.4,-8.9,-25.7,20.3,0.009,limestone
C215,208.5,-5.4,-8.9,,,,limestone
C215,209.6,-5.5,-9.3,,,,limestone
C215,211.1,-4.7,-9.5,,,,limestone
C215,212.1,-5,-10,,,,limestone
C215,212.8,-4.8,-9.6,,,,limestone
C215,213.5,-4.8,-9.9,,,,limestone
C215,214.2,-5.3,-9.6,-25.4,20.1,0.007,limestone
C215,215.1,-4.8,-8.8,,,,limestone
C215,216.1,-5.3,-9.8,,,,limestone
C215,216.9,-5.3,-10,,,,limestone
C215,217.9,-5.1,-8.4,-23.5,18.4,0.011,limestone
C215,219.8,-4.9,-9.8,,,,limestone
C215,221.1,-4.6,-9.7,,,,limestone
C215,222.5,-4.7,-10,,,,limestone
C215,223.5,-4.5,-9.9,-24,19.5,0.006,limestone
C215,224.4,-5.2,-8.1,,,,limestone
C215,224.7,-4.5,-9.2,-25.6,19.3,0.005,limestone
C215,224.9,-4.5,-8.3,,,,limestone
C215,226.9,-4.9,-8.6,,,,limestone
C215,228.1,-4.5,-9.5,,,,limestone
C215,228.8,-4.5,-9.4,,,,limestone
C215,229.3,-4.7,-9,,,,limestone
C215,231.1,-4.2,-9.6,-25.9,21.7,0.008,limestone
C215,232.1,-4.7,-8.2,,,,limestone
C215,233.3,-4.1,-9.4,,,,limestone
C215,234,-4.1,-9.4,,,,limestone
C215,234.5,-4.2,-9.6,,,,limestone
C215,235.2,-4.2,-9.4,,,,limestone
C215,236.5,-4.1,-9.6,-24.9,20.9,0.008,limestone
C215,237.5,-4.1,-9.9,,,,limestone
C215,238.6,-3.9,-9.4,,,,limestone
C215,239.7,-3.7,-9.3,,,,limestone
C215,241.1,-3.7,-9.3,,,,limestone
C215,242.3,-3.8,-10,,,,limestone
C215,243,-3.7,-10.1,,,,limestone
C215,243.9,-3.7,-10,-24.7,21,0.011,limestone
C215,245,-3.6,-10,,,,limestone
C215,246,-3.6,-9.7,,,,limestone
C215,247.2,-3.7,-10.2,,,,limestone
C215,247.9,-3.5,-9.8,,,,limestone
C215,248.9,-3.6,-10.1,-24.5,20.9,0.009,limestone
C215,249.9,-3.9,-9.8,,,,limestone
C215,250.9,-3.4,-9.3,,,,limestone
C215,251.9,-3.6,-10.4,,,,limestone
C215,252.9,-3.6,-10.2,,,,limestone
C215,254,-3.7,-10.2,-24.1,20.4,0.008,limestone
C215,255,-4.3,-10.5,,,,limestone
C215,255.6,-3.4,-10.4,-23.5,20.1,0.008,limestone
C215,256.7,-3.1,-10.4,,,,limestone
C215,257.5,-3.3,-10,,,,limestone
C215,258.4,-3.1,-10.1,,,,limestone
C215,259.6,-3.3,-10.2,-23.7,20.5,0.007,limestone
C215,261,-3.5,-10.8,,,,limestone
C215,261.7,-2.9,-10.6,,,,limestone
C215,262.7,-3.1,-10.7,,,,limestone
C215,263.6,-3.5,-9.6,,,,limestone
C215,264.4,-3.4,-10.7,-25.7,22.4,0.017,limestone
C215,265.2,-3.2,-10.6,,,,limestone
C215,266.2,-3.3,-10.6,-25.2,21.9,0.013,limestone
C215,266.5,-3.3,-10.8,,,,limestone
C215,266.8,-3.3,-10.9,,,,limestone
C215,267.3,-3.3,-10.9,,,,limestone
C215,268.4,-3.4,-11,,,,limestone
C215,268.9,-3.6,-11.1,,,,limestone
C215,269.4,-3.8,-12.2,,,,limestone
C215,270.5,-3.4,-12.5,-24.8,22,0.018,limestone
C215,271.4,-3.4,-12.6,,,,limestone
C215,271.6,-3.5,-12.7,,,,limestone
C215,300,-5,-9.6,-26.6,21.6,0.015,limestone
C227,0.2,9,-9.6,,,,limestone
C227,1.1,8.7,-9.9,,,,limestone
C227,2,8.7,-9.8,,,,limestone
C227,2.6,8.3,-9.9,,,,limestone
C227,3.3,8.3,-10.6,,,,limestone
C227,4.3,8.7,-8.5,,,,limestone
C227,5.3,8.3,-11.3,,,,limestone
C227,8.5,7.1,-9.9,,,,limestone
C227,9.7,7.1,-10.3,-23.5,30.7,0.01,limestone
C227,11,8.1,-9.9,,,,limestone
C227,12.9,6.9,-9.5,,,,limestone
C227,14,6.6,-9.4,,,,limestone
C227,15,7.6,-10.1,,,,limestone
C227,15.6,7.2,-9.9,,,,limestone
C227,17,7.1,-9.5,,,,limestone
C227,18.5,7.9,-9.5,,,,limestone
C227,20,8.9,-6.5,,,,limestone
C227,21.1,8.4,-9.7,,,,limestone
C227,22.2,7.5,-9.5,,,,limestone
C227,23.5,6.9,-7.9,,,,limestone
C227,24.8,8.3,-9.8,,,,limestone
C227,26.1,8,-9.4,,,,limestone
C227,27.3,7.9,-9.8,,,,limestone
C227,28.6,7.4,-11.1,,,,limestone
C227,29.7,6.2,-9.2,,,,limestone
C227,30.8,7.7,-9.3,,,,limestone
C227,31.9,8.1,-9.7,,,,limestone
C227,33.1,7.7,-9.8,,,,limestone
C227,34.2,8.2,-9.5,,,,limestone
C227,35.4,7.2,-9.6,,,,limestone
C227,36.4,8.5,-9.6,-23.5,32.2,0.014,limestone
C227,37.6,8.8,-9.3,,,,limestone
C227,38.3,7.7,-9.8,,,,limestone
C227,39.5,7.7,-9.8,,,,limestone
C227,40.6,7,-9.5,,,,limestone
C227,41.8,6.4,-9.2,,,,limestone
C227,43,6.7,-10.3,,,,limestone
C227,44.6,7.3,-9.9,,,,limestone
C227,45.6,8,-10.2,,,,limestone
C227,46.7,8.2,-10,,,,limestone
C227,47.7,7.2,-7.2,,,,limestone
C227,48.6,8.5,-10.6,,,,limestone
C227,50.3,8.5,-10.6,,,,limestone
C227,51.4,8.2,-10.6,,,,limestone
C227,52.4,6.8,-10.9,-21.6,28.4,0.012,limestone
C227,54.1,6.3,-10.3,,,,limestone
C227,55.1,6.7,-11.6,,,,limestone
C227,56.1,5.9,-8,,,,limestone
C227,57.8,6.2,-10.6,,,,limestone
C227,58.7,6.9,-9,,,,limestone
C227,60.7,5.5,-10.7,,,,limestone
C227,61.6,7.3,-11.1,,,,limestone
C227,62.8,5.8,-11,,,,limestone
C227,77.2,7.8,-10.8,,,,limestone
C227,77.6,7.3,-11,-24.2,31.5,0.021,limestone
C227,85.2,6,-9.7,,,,limestone
C227,86.4,9.8,-8.3,,,,limestone
C227,87.7,9.4,-8.4,,,,limestone
C227,89.1,9.8,-6.6,,,,limestone
