sample,formation,strat_m,87Sr/86Sr,d13C,d18O,Mn_ppm,Sr_ppm,Mn/Sr,Mg/Ca,d13C_Srdata
,Grusdievbreen,0,,0.8,,,,,,There appears to be a slight discrepancy between the composite strat levels accompanying the Sr data and that for the d13C data. This needs to be resolved in order to integrate the Sr and C composites.
,Grusdievbreen,3.5,,1.5,,,,,,
,Grusdievbreen,11.8,,2,,,,,,
,Grusdievbreen,14.4,,2.7,,,,,,
,Grusdievbreen,23.7,,1.5,,,,,,
,Grusdievbreen,28.7,,2.5,,,,,,
,Grusdievbreen,30.9,,1.4,,,,,,
,Grusdievbreen,41,,4.1,,,,,,
,Grusdievbreen,62,,3.9,,,,,,
,Grusdievbreen,70.4,,4.5,,,,,,
,Grusdievbreen,78.2,,8.4,,,,,,
,Grusdievbreen,87.2,,6.5,,,,,,
,Grusdievbreen,95.7,,5.2,,,,,,
,Grusdievbreen,106,,5.6,,,,,,
,Grusdievbreen,115.5,,6.5,,,,,,
,Grusdievbreen,125,,3.7,,,,,,
,Grusdievbreen,132.8,,5.7,,,,,,
,Grusdievbreen,138,,3.8,,,,,,
,Grusdievbreen,146,,5.2,,,,,,
,Grusdievbreen,154,,3.3,,,,,,
,Grusdievbreen,205,,2.9,,,,,,
,Grusdievbreen,212,,3.2,,,,,,
G336. 219.6 ,Grusdievbreen,219.6,0.71078,,-6.4,,,, ,4.1
,Grusdievbreen,226,,4.3,,,,,,
,Grusdievbreen,247,,4.8,,,,,,
,Grusdievbreen,259.6,,1.7,,,,,,
,Grusdievbreen,265.3,,3.3,,,,,,
,Grusdievbreen,265.5,,3.6,,,,,,
,Grusdievbreen,265.8,,3.5,,,,,,
,Grusdievbreen,265.9,,3.6,,,,,,
,Grusdievbreen,266.2,,3.5,,,,,,
,Grusdievbreen,266.5,,4.2,,,,,,
,Grusdievbreen,266.7,,4,,,,,,
,Grusdievbreen,267.2,,4,,,,,,
,Grusdievbreen,267.5,,4,,,,,,
,Grusdievbreen,267.8,,3.8,,,,,,
,Grusdievbreen,268,,4.1,,,,,,
,Grusdievbreen,270.8,,4.4,,,,,,
,Grusdievbreen,271.2,,4.4,,,,,,
,Grusdievbreen,271.8,,4.2,,,,,,
,Grusdievbreen,272.1,,4.9,,,,,,
,Grusdievbreen,272.6,,4.2,,,,,,
,Grusdievbreen,272.9,,4.7,,,,,,
,Grusdievbreen,273.6,,4.8,,,,,,
,Grusdievbreen,273.9,,5,,,,,,
,Grusdievbreen,274.5,,5,,,,,,
,Grusdievbreen,275.5,,4.8,,,,,,
,Grusdievbreen,276.5,,5.3,,,,,,
,Grusdievbreen,277.5,,5.2,,,,,,
,Grusdievbreen,279.1,,5.4,,,,,,
,Grusdievbreen,280.4,,5.5,,,,,,
G336. 281.7 ,Grusdievbreen,281.7,0.70627,,-5.7,17,2278,0.01,0.01,7
,Grusdievbreen,282.5,,5.6,,,,,,
,Grusdievbreen,289.1,,5.9,,,,,,
,Grusdievbreen,291.4,,5.7,,,,,,
,Grusdievbreen,294,,6.1,,,,,,
,Grusdievbreen,297.9,,6.1,,,,,,
,Grusdievbreen,300.3,,6.5,,,,,,
,Grusdievbreen,307,,6.2,,,,,,
,Grusdievbreen,311.3,,6.7,,,,,,
,Grusdievbreen,315.5,,4.8,,,,,,
,Grusdievbreen,317.2,,5.5,,,,,,
,Grusdievbreen,330.7,,5.6,,,,,,
,Grusdievbreen,335.4,,5.6,,,,,,
,Grusdievbreen,337.9,,6,,,,,,
,Grusdievbreen,344.3,,6.2,,,,,,
,Grusdievbreen,349,,6.4,,,,,,
,Grusdievbreen,355.5,,6.2,,,,,,
G33. 14.5 ,Grusdievbreen,357.5,0.70626,,-6.3,10,2526,0,0,6.6
,Grusdievbreen,359.1,,6.8,,,,,,
,Grusdievbreen,362.7,,6.8,,,,,,
,Grusdievbreen,367.8,,7.1,,,,,,
,Grusdievbreen,372.9,,6.9,,,,,,
,Grusdievbreen,384.9,,6.5,,,,,,
,Grusdievbreen,389.4,,7.7,,,,,,
,Grusdievbreen,399.3,,6.7,,,,,,
G33. 62.2 ,Grusdievbreen,405.2,0.70628,,-7.1,6,1692,0,0,7.3
,Grusdievbreen,405.6,,7.6,,,,,,
,Grusdievbreen,410.2,,3.7,,,,,,
,Grusdievbreen,411.8,,6.1,,,,,,
,Grusdievbreen,413,,6.4,,,,,,
,Grusdievbreen,417.5,,7.4,,,,,,
,Grusdievbreen,421.8,,6.4,,,,,,
,Grusdievbreen,427,,7.1,,,,,,
,Grusdievbreen,427,,7.6,,,,,,
,Grusdievbreen,430.9,,7.8,,,,,,
G33. 91 ,Grusdievbreen,434,0.70652,,-10.6,7,514,0.01,0.01,5.8
,Grusdievbreen,434.5,,6.9,,,,,,
,Grusdievbreen,434.5,,7.2,,,,,,
,Grusdievbreen,437.7,,6.8,,,,,,
,Grusdievbreen,438.4,,6.8,,,,,,
,Grusdievbreen,441,,6.5,,,,,,
G148. 126 ,Grusdievbreen,444.1,0.70625,,-7,13,1720,0.01,0.01,6.4
,Grusdievbreen,445.4,,6.2,,,,,,
,Grusdievbreen,445.6,,6.1,,,,,,
,Grusdievbreen,448.8,,6.3,,,,,,
,Grusdievbreen,449,,6.4,,,,,,
,Grusdievbreen,451,,6.2,,,,,,
,Grusdievbreen,452.8,,5.2,,,,,,
G148. 136.3 ,Grusdievbreen,454.4,0.70624,,-8.8,29,282,0.1,0.1,0.3
G33. 112.1 ,Grusdievbreen,455.1,0.70884,,-11.7,105,134,0.78,0.75,-0.4
,Grusdievbreen,457.7,,4.8,,,,,,
,Grusdievbreen,458,,4.7,,,,,,
G148. 140.3 ,Grusdievbreen,458.4,0.70699,,-9.9,41,96,0.42,0.4,-0.2
,Grusdievbreen,458.7,,4.6,,,,,,
,Grusdievbreen,459.4,,4.7,,,,,,
,Grusdievbreen,460.7,,5.1,,,,,,
,Grusdievbreen,463.9,,-0.1,,,,,,
,Grusdievbreen,464.3,,-0.4,,,,,,
,Grusdievbreen,465,,-0.2,,,,,,
,Grusdievbreen,465.4,,-0.3,,,,,,
,Grusdievbreen,465.9,,-0.3,,,,,,
,Grusdievbreen,467,,-0.6,,,,,,
G148. 149.2 ,Grusdievbreen,467.3,0.7064,,-8.4,45,271,0.17,0.07,-1.5
,Grusdievbreen,467.5,,-0.6,,,,,,
,Grusdievbreen,468.4,,-0.6,,,,,,
,Grusdievbreen,469.8,,-0.4,,,,,,
,Grusdievbreen,471.5,,-0.8,,,,,,
G33. 131.7 ,Grusdievbreen,474.7,0.70644,,-8.3,14,594,0.02,0.02,-1
,Grusdievbreen,476.3,,-0.6,,,,,,
G148. 158.7 ,Grusdievbreen,476.8,0.70635,,-8.1,13,696,0.02,0.02,-1.2
,Grusdievbreen,480.5,,-1,,,,,,
,Grusdievbreen,481.2,,-1,,,,,,
,Grusdievbreen,481.7,,-0.8,,,,,,
,Grusdievbreen,482.5,,-1.1,,,,,,
,Grusdievbreen,483.2,,-1,,,,,,
,Grusdievbreen,483.9,,-1.2,,,,,,
,Grusdievbreen,484.7,,-1.2,,,,,,
,Grusdievbreen,485.7,,-1.2,,,,,,
,Grusdievbreen,486.7,,-1.3,,,,,,
,Grusdievbreen,487.8,,-1.2,,,,,,
G33. 145.9 ,Grusdievbreen,488.9,0.70643,,-8.3,5,1237,0,0,-1.1
,Grusdievbreen,488.9,,-1.4,,,,,,
,Grusdievbreen,490.6,,-1.3,,,,,,
,Grusdievbreen,493.7,,-1.2,,,,,,
,Grusdievbreen,498.1,,-1.1,,,,,,
,Grusdievbreen,499.6,,-1.4,,,,,,
,Grusdievbreen,500.9,,-1.4,,,,,,
,Grusdievbreen,503.3,,-1.2,,,,,,
,Grusdievbreen,507.5,,-1.4,,,,,,
,Grusdievbreen,508.6,,-1.4,,,,,,
,Grusdievbreen,510.6,,-1.3,,,,,,
,Grusdievbreen,512.2,,-1.4,,,,,,
,Grusdievbreen,518.7,,-1.3,,,,,,
,Grusdievbreen,522.9,,-1.1,,,,,,
,Grusdievbreen,535.3,,-0.1,,,,,,
,Grusdievbreen,541.3,,-1.1,,,,,,
,Grusdievbreen,545.6,,-1,,,,,,
M9. 55 ,Grusdievbreen,546.7,0.7064,,-9.2,3,2283,0,0,-0.7
,Grusdievbreen,549.5,,-0.8,,,,,,
,Grusdievbreen,554.5,,-0.3,,,,,,
,Grusdievbreen,557.9,,-0.7,,,,,,
,Grusdievbreen,560.8,,-0.8,,,,,,
,Grusdievbreen,570.8,,-0.4,,,,,,
,Grusdievbreen,572.8,,-0.3,,,,,,
M9. 83.4 ,Grusdievbreen,575.1,0.70641,,-8.5,5,2030,0,0,-0.3
,Grusdievbreen,577.9,,-0.3,,,,,,
,Grusdievbreen,583,,0.1,,,,,,
,Grusdievbreen,587.6,,-0.7,,,,,,
,Grusdievbreen,595.5,,-0.2,,,,,,
,Grusdievbreen,598.7,,-0.8,,,,,,
G341. 146.6 ,Grusdievbreen,599.4,0.70637,,-6.9,18,1481,0.01,0.01,0.1
,Grusdievbreen,602.4,,-0.1,,,,,,
,Grusdievbreen,605.2,,0,,,,,,
,Grusdievbreen,605.5,,0.1,,,,,,
,Grusdievbreen,614.2,,-1.5,,,,,,
,Grusdievbreen,614.8,,0.2,,,,,,
M9. 125.6 ,Grusdievbreen,617.3,0.7066,,-8.5,4,1242,0,0,0.6
,Grusdievbreen,618.5,,0.4,,,,,,
,Grusdievbreen,623.9,,0.1,,,,,,
,Grusdievbreen,630.4,,0.5,,,,,,
G341. 178 ,Grusdievbreen,630.8,0.70642,,-7.3,14,806,0.02,0.02,-0.3
,Grusdievbreen,630.9,,0.2,,,,,,
,Grusdievbreen,635.9,,0.5,,,,,,
,Grusdievbreen,640.2,,-0.8,,,,,,
,Grusdievbreen,644.3,,-0.5,,,,,,
,Grusdievbreen,648.4,,-0.2,,,,,,
,Grusdievbreen,652.4,,-0.2,,,,,,
,Grusdievbreen,655.7,,-0.3,,,,,,
,Grusdievbreen,656.7,,-0.4,,,,,,
G341. 205.1 ,Grusdievbreen,657.9,0.70644,,-7.3,28,368,0.08,0.07,-2.1
,Svanbergfjellet,661,,0,,,,,,
,Grusdievbreen,661.5,,-0.1,,,,,,
,Grusdievbreen,665.7,,-0.1,,,,,,
,Svanbergfjellet,666.6,,0,,,,,,
G341. 215.6 ,Svanbergfjellet,668.4,0.70634,,-6.9,18,930,0.02,0.02,-0.7
,Svanbergfjellet,670,,0.5,,,,,,
,Grusdievbreen,671.7,,0.2,,,,,,
,Svanbergfjellet,673.8,,0.1,,,,,,
,Svanbergfjellet,678.6,,-0.1,,,,,,
,Grusdievbreen,678.9,,0.2,,,,,,
,Svanbergfjellet,682.4,,-0.3,,,,,,
,Grusdievbreen,683,,-0.1,,,,,,
,Grusdievbreen,687.2,,-0.4,,,,,,
,Svanbergfjellet,687.5,,-0.7,,,,,,
,Grusdievbreen,692.1,,-0.2,,,,,,
,Svanbergfjellet,692.3,,0.8,,,,,,
,Svanbergfjellet,696.4,,-1.2,,,,,,
,Svanbergfjellet,701.3,,-1.3,,,,,,
G341. 251.6 ,Svanbergfjellet,704.4,0.70673,,-6.2,38,188,0.2,0.19,-1.4
,Svanbergfjellet,706,,-0.8,,,,,,
,Svanbergfjellet,710.5,,-1.9,,,,,,
,Svanbergfjellet,713.5,,-1,,,,,,
,Svanbergfjellet,716.3,,-1.9,,,,,,
,Svanbergfjellet,724.1,,-3.2,,,,,,
,Svanbergfjellet,726.3,,-2.4,,,,,,
,Svanbergfjellet,732.1,,-2.1,,,,,,
,Svanbergfjellet,733.8,,-3.6,,,,,,
G341. 282.5 ,Svanbergfjellet,735.3,0.70635,,-5.5,38,536,0.07,0.07,0
,Svanbergfjellet,737.2,,-2.6,,,,,,
,Svanbergfjellet,743.8,,-3,,,,,,
G341. 294.5 ,Svanbergfjellet,747.3,0.70698,,-4.6,63,127,0.5,0.48,-2
,Svanbergfjellet,749.4,,-2.1,,,,,,
,Svanbergfjellet,752,,-1.6,,,,,,
G341. 300 ,Svanbergfjellet,752.8,0.70681,,-5.1,49,233,0.21,0.2,-3
,Svanbergfjellet,757.6,,-2.2,,,,,,
,Svanbergfjellet,761.8,,-2.7,,,,,,
,Svanbergfjellet,765.6,,-3.1,,,,,,
,Svanbergfjellet,773.8,,-1.1,,,,,,
,Svanbergfjellet,779.6,,-1.4,,,,,,
,Svanbergfjellet,784.5,,-0.9,,,,,,
,Svanbergfjellet,792.4,,1.7,,,,,,
,Svanbergfjellet,792.5,,1.8,,,,,,
,Svanbergfjellet,792.8,,1.8,,,,,,
,Svanbergfjellet,793.2,,1.7,,,,,,
,Svanbergfjellet,793.8,,1.8,,,,,,
,Svanbergfjellet,794.3,,2,,,,,,
,Svanbergfjellet,794.8,,2.1,,,,,,
,Svanbergfjellet,795.2,,3.1,,,,,,
,Svanbergfjellet,795.5,,2.1,,,,,,
,Svanbergfjellet,795.9,,1.7,,,,,,
,Svanbergfjellet,796.5,,2.1,,,,,,
,Svanbergfjellet,796.9,,1.4,,,,,,
,Svanbergfjellet,797.6,,3,,,,,,
,Svanbergfjellet,798.3,,2.7,,,,,,
,Svanbergfjellet,799.2,,2.8,,,,,,
,Svanbergfjellet,799.9,,2.3,,,,,,
,Svanbergfjellet,801.2,,2.6,,,,,,
,Svanbergfjellet,801.5,,2.4,,,,,,
,Svanbergfjellet,802.4,,2.3,,,,,,
,Svanbergfjellet,803,,2.7,,,,,,
,Svanbergfjellet,803.4,,2.2,,,,,,
,Svanbergfjellet,804.6,,3.6,,,,,,
,Svanbergfjellet,805.1,,3.7,,,,,,
G19. 25.7 ,Svanbergfjellet,805.7,0.70758,,-6.9,78,118,0.66,0.63,2.7
,Svanbergfjellet,805.7,,3.4,,,,,,
,Svanbergfjellet,806.7,,2.8,,,,,,
,Svanbergfjellet,806.7,,2.9,,,,,,
,Svanbergfjellet,807.7,,2.8,,,,,,
,Svanbergfjellet,808.4,,2.9,,,,,,
,Svanbergfjellet,808.7,,2.8,,,,,,
,Svanbergfjellet,809.5,,2.7,,,,,,
,Svanbergfjellet,809.8,,3,,,,,,
,Svanbergfjellet,810,,3,,,,,,
,Svanbergfjellet,810.7,,2.7,,,,,,
,Svanbergfjellet,811.5,,2.8,,,,,,
,Svanbergfjellet,813.8,,3,,,,,,
,Svanbergfjellet,816.1,,3.3,,,,,,
,Svanbergfjellet,818.9,,3.7,,,,,,
,Svanbergfjellet,821.7,,1,,,,,,
,Svanbergfjellet,825.1,,2.5,,,,,,
,Svanbergfjellet,827.7,,3.5,,,,,,
G129.6 26.9 ,Svanbergfjellet,830,0.70762,,-7.2,,,,,3.1
,Svanbergfjellet,830.7,,2.8,,,,,,
,Svanbergfjellet,833.7,,3.2,,,,,,
,Svanbergfjellet,836.7,,3.4,,,,,,
G37. 27.8 ,Svanbergfjellet,837,0.70644,,,74,780,0.09,0.52,
G37. 28.8 ,Svanbergfjellet,838,0.70651,,-6.5,75,739,0.1,0.27,4.1
,Svanbergfjellet,840.2,,5.9,,,,,,
,Svanbergfjellet,842.2,,5.9,,,,,,
G19. 57.2 ,Svanbergfjellet,843.5,0.70629,,-6.8,60,964,0.06,0.06,5.9
,Svanbergfjellet,845.1,,5.2,,,,,,
,Svanbergfjellet,848.9,,4.6,,,,,,
,Svanbergfjellet,850.9,,5.6,,,,,,
G19. 71.8 ,Svanbergfjellet,851.8,0.70625,,-6.3,72,993,0.07,0.07,6
,Svanbergfjellet,853.5,,5.7,,,,,,
,Svanbergfjellet,854,,5.9,,,,,,
,Svanbergfjellet,856,,6.7,,,,,,
,Svanbergfjellet,856.8,,6,,,,,,
G37. 53.0 ,Svanbergfjellet,861,0.70617,,-6.7,18,1886,0.01,0.03,6.2
,Svanbergfjellet,863,,6.2,,,,,,
,Svanbergfjellet,866.2,,5.9,,,,,,
,Svanbergfjellet,869.2,,6.1,,,,,,
,Svanbergfjellet,872,,6.1,,,,,,
,Svanbergfjellet,875.1,,7.8,,,,,,
,Svanbergfjellet,875.7,,4.3,,,,,,
,Svanbergfjellet,878.1,,6.8,,,,,,
,Svanbergfjellet,881.9,,5,,,,,,
,Svanbergfjellet,885,,4.7,,,,,,
,Svanbergfjellet,888,,5.4,,,,,,
,Svanbergfjellet,891,,5,,,,,,
,Svanbergfjellet,894,,4.4,,,,,,
,Svanbergfjellet,896.5,,4.4,,,,,,
G341. 445.3 ,Svanbergfjellet,898.1,0.70661,,-6.1,30,1025,0.03,0.03,4.3
,Svanbergfjellet,899.8,,5.1,,,,,,
,Svanbergfjellet,901,,4.2,,,,,,
,Svanbergfjellet,904.3,,4.8,,,,,,
,Svanbergfjellet,905.6,,4.9,,,,,,
,Svanbergfjellet,907.2,,4.7,,,,,,
,Svanbergfjellet,909.2,,4.3,,,,,,
,Svanbergfjellet,911.7,,4.4,,,,,,
G341. 464.5 ,Svanbergfjellet,917.3,0.70659,,-6.3,106,106,1,0.95,4.9
G35. 0.3 ,Svanbergfjellet,932,0.70634,,-8.3,9,942,0.01,0.02,5.2
,Svanbergfjellet,932,,5.2,,,,,,
,Svanbergfjellet,935.4,,6.9,,,,,,
,Svanbergfjellet,938.3,,5,,,,,,
,Svanbergfjellet,943.3,,2.8,,,,,,
,Svanbergfjellet,945.4,,3.5,,,,,,
,Svanbergfjellet,947.8,,4,,,,,,
,Svanbergfjellet,951.1,,4,,,,,,
,Svanbergfjellet,955,,6.1,,,,,,
G35. 25.8 ,Svanbergfjellet,955.5,0.70649,,-7.5,75,739,0.1,0.27,4.9
,Svanbergfjellet,957.5,,4.9,,,,,,
,Svanbergfjellet,965.7,,4.4,,,,,,
,Svanbergfjellet,966.7,,4.8,,,,,,
,Svanbergfjellet,969.2,,4.9,,,,,,
,Svanbergfjellet,972.7,,4.9,,,,,,
,Svanbergfjellet,978.7,,4.3,,,,,,
,Svanbergfjellet,982.4,,5,,,,,,
,Svanbergfjellet,992.6,,5.6,,,,,,
,Svanbergfjellet,996.7,,5.7,,,,,,
,Svanbergfjellet,1006.9,,4.1,,,,,,
,Svanbergfjellet,1011.4,,3.9,,,,,,
,Svanbergfjellet,1016.4,,4.1,,,,,,
,Svanbergfjellet,1020,,4,,,,,,
,Svanbergfjellet,1024,,4.4,,,,,,
