sample,formation,strat_m,87Sr/86Sr,d13C,d18O,Mn_ppm,Sr_ppm,Mn/Sr,Mg/Ca,d13C_Srdata
,Svanbergfjellet,1030.3,,4.1,,,,,,
,Svanbergfjellet,1031.2,,4.2,,,,,,
,Svanbergfjellet,1033.9,,4.3,,,,,,
,Svanbergfjellet,1035.4,,4.1,,,,,,
,Svanbergfjellet,1036.3,,3.8,,,,,,
,Svanbergfjellet,1036.9,,3.8,,,,,,
,Svanbergfjellet,1037.9,,3.9,,,,,,
,Svanbergfjellet,1039.3,,5.1,,,,,,
,Svanbergfjellet,1040.8,,3.4,,,,,,
,Svanbergfjellet,1044.5,,4.1,,,,,,
,Svanbergfjellet,1046.4,,4.2,,,,,,
,Svanbergfjellet,1048.5,,4,,,,,,
,Svanbergfjellet,1049.7,,3.2,,,,,,
,Svanbergfjellet,1050.9,,4.3,,,,,,
,Svanbergfjellet,1054.2,,3.5,,,,,,
,Svanbergfjellet,1065.5,,4.9,,,,,,
,Svanbergfjellet,1066.5,,4.9,,,,,,
,Svanbergfjellet,1074,,5.6,,,,,,
,Svanbergfjellet,1075,,5.2,,,,,,
,Svanbergfjellet,1080.6,,5.5,,,,,,
,Svanbergfjellet,1083.4,,5.6,,,,,,
,Svanbergfjellet,1084.8,,5.1,,,,,,
,Svanbergfjellet,1087.9,,5.7,,,,,,
,Svanbergfjellet,1090.9,,5.9,,,,,,
,Svanbergfjellet,1093.9,,5.6,,,,,,
,Svanbergfjellet,1096.9,,5.5,,,,,,
,Svanbergfjellet,1101.4,,6,,,,,,
,Svanbergfjellet,1104.3,,5.1,,,,,,
,Svanbergfjellet,1107.4,,6.5,,,,,,
,Svanbergfjellet,1112.5,,5,,,,,,
,Svanbergfjellet,1114.6,,4,,,,,,
,Svanbergfjellet,1117.6,,6,,,,,,
,Svanbergfjellet,1122.4,,6.1,,,,,,
,Svanbergfjellet,1126.1,,4.6,,,,,,
,Svanbergfjellet,1130,,5.8,,,,,,
,Svanbergfjellet,1133.5,,6.5,,,,,,
,Svanbergfjellet,1138.7,,4.9,,,,,,
,Svanbergfjellet,1138.8,,5.6,,,,,,
,Svanbergfjellet,1139,,5.7,,,,,,
,Svanbergfjellet,1139.3,,4.9,,,,,,
,Svanbergfjellet,1139.6,,5,,,,,,
,Draken,1139.9,,5.5,,,,,,
,Draken,1147.6,,5.7,,,,,,
,Draken,1149.7,,6.4,,,,,,
,Draken,1150.7,,6.3,,,,,,
,Draken,1151.7,,6.4,,,,,,
,Draken,1155,,5.9,,,,,,
,Draken,1156.1,,6.3,,,,,,
,Draken,1158.3,,6.5,,,,,,
,Draken,1160.8,,5.6,,,,,,
,Draken,1163.7,,6.5,,,,,,
,Draken,1165.4,,6.2,,,,,,
,Draken,1168.4,,6.1,,,,,,
,Draken,1171.2,,5.9,,,,,,
,Draken,1174.8,,7,,,,,,
,Draken,1178.2,,7.1,,,,,,
,Draken,1181.5,,7.1,,,,,,
,Draken,1185.7,,6.7,,,,,,
,Draken,1188.7,,7,,,,,,
,Draken,1192,,6.6,,,,,,
,Draken,1196.7,,5.9,,,,,,
,Draken,1199.2,,5.5,,,,,,
,Draken,1200.2,,5.4,,,,,,
,Draken,1218,,5.8,,,,,,
,Draken,1236.6,,6.4,,,,,,
,Draken,1243,,6,,,,,,
,Draken,1247.8,,7.4,,,,,,
,Draken,1250.7,,7.3,,,,,,
,Draken,1255.7,,7.3,,,,,,
,Draken,1259.7,,6.7,,,,,,
,Draken,1263.8,,6.3,,,,,,
,Draken,1268.3,,5.7,,,,,,
,Draken,1272.8,,7.1,,,,,,
,Draken,1275.8,,6.7,,,,,,
,Draken,1280.3,,6.7,,,,,,
,Draken,1287.7,,5,,,,,,
,Draken,1291.3,,4.1,,,,,,
,Draken,1295.8,,7.2,,,,,,
,Draken,1305.2,,6.7,,,,,,
,Draken,1307.9,,5.2,,,,,,
,Draken,1312.3,,7.1,,,,,,
,Draken,1315.7,,7.2,,,,,,
,Draken,1318.9,,7.2,,,,,,
,Draken,1321.5,,7.4,,,,,,
,Draken,1325.4,,6.7,,,,,,
,Draken,1328.1,,6.3,,,,,,
,Draken,1331.7,,5.7,,,,,,
,Draken,1334.7,,7.4,,,,,,
,Draken,1338.2,,5.9,,,,,,
,Draken,1342.7,,6.2,,,,,,
,Draken,1346.7,,5.9,,,,,,
,Draken,1348.2,,6.2,,,,,,
,Draken,1368.9,,3.9,,,,,,
,Draken,1374.2,,4.1,,,,,,
,Draken,1377.4,,2.6,,,,,,
,Draken,1381.5,,3.9,,,,,,
,Draken,1381.7,,4.8,,,,,,
,Draken,1390.6,,3.1,,,,,,
,Draken,1397.7,,3.5,,,,,,
,Draken,1401.5,,2.8,,,,,,
,Draken,1406.2,,3.7,,,,,,
,Draken,1412.7,,4.4,,,,,,
,Draken,1418.7,,3,,,,,,
,Draken,1430.3,,5.9,,,,,,
,Backlundtoppen,1430.8,,4.6,,,,,,
,Backlundtoppen,1433,,6.4,,,,,,
,Backlundtoppen,1435.1,,4.6,,,,,,
,Backlundtoppen,1435.2,,6.3,,,,,,
,Backlundtoppen,1437.7,,7.3,,,,,,
,Backlundtoppen,1440.8,,6.1,,,,,,
,Backlundtoppen,1441.7,,4.9,,,,,,
,Backlundtoppen,1443.4,,4.9,,,,,,
,Backlundtoppen,1443.7,,3.8,,,,,,
,Backlundtoppen,1443.8,,7.7,,,,,,
,Backlundtoppen,1445.9,,7.2,,,,,,
,Backlundtoppen,1446.9,,7.3,,,,,,
,Backlundtoppen,1448.6,,7.4,,,,,,
,Backlundtoppen,1449.9,,7.6,,,,,,
,Backlundtoppen,1450.7,,5.7,,,,,,
,Backlundtoppen,1452.7,,5.8,,,,,,
,Backlundtoppen,1453,,7.3,,,,,,
,Backlundtoppen,1454.3,,7.8,,,,,,
,Backlundtoppen,1457.1,,7.1,,,,,,
,Backlundtoppen,1457.5,,8,,,,,,
,Backlundtoppen,1460,,5.5,,,,,,
G15. 29.8 ,Backlundtoppen,1460.1,0.70697,,-6.1,28,3382,0.01,0,8.2
,Backlundtoppen,1460.1,,8.2,,,,,,
,Backlundtoppen,1463.1,,7.7,,,,,,
,Backlundtoppen,1466.1,,7.5,,,,,,
,Backlundtoppen,1467.2,,8.1,,,,,,
,Backlundtoppen,1469.7,,7.5,,,,,,
,Backlundtoppen,1471.8,,8.1,,,,,,
,Backlundtoppen,1475.9,,7.9,,,,,,
G15. 45.6 ,Backlundtoppen,1476.6,0.70697,,-5.3,12,2543,0,0,7.9
,Backlundtoppen,1484.5,,7.2,,,,,,
,Backlundtoppen,1487.9,,7.3,,,,,,
,Backlundtoppen,1490,,6.9,,,,,,
,Backlundtoppen,1490.3,,7.6,,,,,,
,Backlundtoppen,1495.5,,7.6,,,,,,
,Backlundtoppen,1497,,6.9,,,,,,
,Backlundtoppen,1498.8,,7.4,,,,,,
,Backlundtoppen,1501.1,,7.4,,,,,,
,Backlundtoppen,1502.7,,8,,,,,,
,Backlundtoppen,1504.2,,7.5,,,,,,
,Backlundtoppen,1507.4,,5,,,,,,
,Backlundtoppen,1508.9,,7.5,,,,,,
G15. 78.6 ,Backlundtoppen,1509.6,0.70695,,-5.8,17,2984,0.01,0,7.5
,Backlundtoppen,1513.5,,7.2,,,,,,
,Backlundtoppen,1515.8,,6.8,,,,,,
,Backlundtoppen,1515.9,,7.9,,,,,,
,Backlundtoppen,1518.5,,8.3,,,,,,
,Backlundtoppen,1520,,8.3,,,,,,
,Backlundtoppen,1520.4,,7.2,,,,,,
G15. 90.1 ,Backlundtoppen,1521.1,0.70693,,-5.9,52,2555,0.02,0.01,7.2
,Backlundtoppen,1525.3,,8.1,,,,,,
,Backlundtoppen,1526.6,,7.1,,,,,,
,Backlundtoppen,1528.9,,7.4,,,,,,
,Backlundtoppen,1529.5,,7.8,,,,,,
,Backlundtoppen,1529.7,,8,,,,,,
,Backlundtoppen,1533.2,,8,,,,,,
M6. 102.9 ,Backlundtoppen,1533.9,0.7069,,-5.9,32,2736,0.01,0.02,8
,Backlundtoppen,1536.2,,8.3,,,,,,
,Backlundtoppen,1540.1,,8.3,,,,,,
,Backlundtoppen,1542.5,,6.8,,,,,,
,Backlundtoppen,1545.6,,8.3,,,,,,
,Backlundtoppen,1547.6,,7.9,,,,,,
,Backlundtoppen,1549.5,,7.9,,,,,,
,Backlundtoppen,1551.8,,7.3,,,,,,
,Backlundtoppen,1555.4,,6.2,,,,,,
,Backlundtoppen,1556.7,,7.6,,,,,,
,Backlundtoppen,1558.4,,7.9,,,,,,
,Backlundtoppen,1559.2,,7.1,,,,,,
,Backlundtoppen,1560.1,,6.7,,,,,,
,Backlundtoppen,1562.1,,8.2,,,,,,
,Backlundtoppen,1562.5,,8.4,,,,,,
M6. 131.8 ,Backlundtoppen,1562.8,0.70687,,-4.9,7,1863,0,0,8.2
,Backlundtoppen,1566.3,,8.6,,,,,,
,Backlundtoppen,1567.2,,8.2,,,,,,
,Backlundtoppen,1567.5,,8.1,,,,,,
,Backlundtoppen,1571.5,,7.5,,,,,,
,Backlundtoppen,1571.6,,8.4,,,,,,
,Backlundtoppen,1574.6,,6.7,,,,,,
,Backlundtoppen,1575.1,,7.8,,,,,,
,Backlundtoppen,1577.2,,8,,,,,,
,Backlundtoppen,1579.1,,7.2,,,,,,
,Backlundtoppen,1581.7,,7.5,,,,,,
,Backlundtoppen,1583.1,,8.9,,,,,,
,Backlundtoppen,1586.1,,6.4,,,,,,
,Backlundtoppen,1586.5,,7.5,,,,,,
,Backlundtoppen,1588.6,,6.2,,,,,,
,Backlundtoppen,1591.1,,5.8,,,,,,
,Backlundtoppen,1592.4,,4.6,,,,,,
,Backlundtoppen,1592.4,,4.6,,,,,,
,Backlundtoppen,1596.9,,4.6,,,,,,
,Backlundtoppen,1606.2,,4.9,,,,,,
,Backlundtoppen,1611.7,,4.3,,,,,,
,Backlundtoppen,1613,,5.4,,,,,,
,Backlundtoppen,1614.9,,5.6,,,,,,
,Backlundtoppen,1625,,5.4,,,,,,
,Backlundtoppen,1628.9,,6.6,,,,,,
,Backlundtoppen,1638.3,,2.3,,,,,,
,Backlundtoppen,1642.8,,4.7,,,,,,
,Backlundtoppen,1650.6,,2.4,,,,,,
,Backlundtoppen,1654.8,,2.3,,,,,,
,Backlundtoppen,1656,,2.2,,,,,,
,Backlundtoppen,1656.7,,2.4,,,,,,
,Backlundtoppen,1661.5,,4.8,,,,,,
,Backlundtoppen,1666.3,,4.3,,,,,,
,Backlundtoppen,1668.3,,4.9,,,,,,
,Backlundtoppen,1670.5,,4.9,,,,,,
,Backlundtoppen,1676,,5.8,,,,,,
,Backlundtoppen,1680.9,,4.1,,,,,,
,Backlundtoppen,1684.5,,6,,,,,,
,Backlundtoppen,1691.2,,5.5,,,,,,
,Backlundtoppen,1693.4,,6.3,,,,,,
,Backlundtoppen,1695.3,,6.7,,,,,,
,Backlundtoppen,1700.2,,7.1,,,,,,
,Backlundtoppen,1704.2,,6.7,,,,,,
,Backlundtoppen,1713.7,,7.2,,,,,,
,Backlundtoppen,1715.8,,7,,,,,,
,Backlundtoppen,1719.7,,6.5,,,,,,
,Backlundtoppen,1724.1,,7.3,,,,,,
,Backlundtoppen,1727.4,,5.9,,,,,,
,Backlundtoppen,1730.7,,7,,,,,,
,Backlundtoppen,1734.7,,4.7,,,,,,
,Backlundtoppen,1739.3,,6.7,,,,,,
,Backlundtoppen,1741.9,,5.5,,,,,,
,Backlundtoppen,1744.4,,5.8,,,,,,
,Backlundtoppen,1749,,6.5,,,,,,
,Backlundtoppen,1751.9,,7,,,,,,
,Backlundtoppen,1761.8,,7.6,,,,,,
,Backlundtoppen,1765.4,,7.9,,,,,,
,Backlundtoppen,1771.3,,6.9,,,,,,
,Backlundtoppen,1776,,7.3,,,,,,
,Backlundtoppen,1782.8,,7.8,,,,,,
,Backlundtoppen,1786.5,,8.3,,,,,,
,Backlundtoppen,1790.5,,8.6,,,,,,
,Backlundtoppen,1793.3,,7.9,,,,,,
,Backlundtoppen,1796.5,,6.6,,,,,,
,Backlundtoppen,1798.9,,8.9,,,,,,
,Backlundtoppen,1800.9,,8.2,,,,,,
,Backlundtoppen,1803.7,,8.6,,,,,,
,Backlundtoppen,1808.4,,9.2,,,,,,
,Backlundtoppen,1812.9,,7.7,,,,,,
,Backlundtoppen,1816.7,,8.2,,,,,,
,Backlundtoppen,1818.9,,8.9,,,,,,
,Backlundtoppen,1821.9,,9.5,,,,,,
,Backlundtoppen,1824.9,,7.7,,,,,,
,Backlundtoppen,1827.9,,8.1,,,,,,
,Backlundtoppen,1830.7,,9.2,,,,,,
,Backlundtoppen,1833.9,,8.7,,,,,,
,Backlundtoppen,1836.9,,8.8,,,,,,
,Backlundtoppen,1839.9,,7.4,,,,,,
,Backlundtoppen,1842.9,,9.1,,,,,,
,Backlundtoppen,1845.9,,8.7,,,,,,
,Backlundtoppen,1848.9,,7.7,,,,,,
,Backlundtoppen,1851.9,,9.1,,,,,,
,Backlundtoppen,1854.7,,8,,,,,,
,Backlundtoppen,1857.9,,8.5,,,,,,
,Backlundtoppen,1860.9,,8.9,,,,,,
,Backlundtoppen,1863.9,,8.9,,,,,,
,Backlundtoppen,1867.4,,8.4,,,,,,
,Backlundtoppen,1869.9,,8.3,,,,,,
,Backlundtoppen,1872.9,,8.4,,,,,,
,Backlundtoppen,1876.2,,8,,,,,,
,Backlundtoppen,1878.9,,8.5,,,,,,
,Backlundtoppen,1879.7,,4.3,,,,,,
,Backlundtoppen,1882.9,,8,,,,,,
,Backlundtoppen,1883.8,,5.9,,,,,,
,Backlundtoppen,1891,,5.7,,,,,,
,Backlundtoppen,1891.6,,5.8,,,,,,
,Backlundtoppen,1892.5,,5.3,,,,,,
,Backlundtoppen,1894.6,,6.3,,,,,,
,Backlundtoppen,1895.6,,6.4,,,,,,
,Backlundtoppen,1897.2,,7.2,,,,,,
,Backlundtoppen,1903.8,,7.4,,,,,,
,Backlundtoppen,1905.6,,7.2,,,,,,
,Backlundtoppen,1912.1,,7,,,,,,
,Backlundtoppen,1915.7,,7.3,,,,,,
,Backlundtoppen,1934.1,,6.5,,,,,,
,Backlundtoppen,1936.7,,7.3,,,,,,
,Backlundtoppen,1940,,6.2,,,,,,
,Backlundtoppen,1957,,6.4,,,,,,
,Backlundtoppen,1962,,6,,,,,,
,Backlundtoppen,1992.1,,5.8,,,,,,
,Backlundtoppen,1994.7,,4.9,,,,,,
,Backlundtoppen,1997.8,,5.2,,,,,,
,Backlundtoppen,1999.2,,4.3,,,,,,
,Backlundtoppen,2001.1,,4.7,,,,,,
,Backlundtoppen,2002.2,,4.2,,,,,,
,Backlundtoppen,2003.6,,4.4,,,,,,
,Backlundtoppen,2006.4,,4.5,,,,,,
,Russoya,2010.9,,1.5,,,,,,
,Russoya,2012.4,,2.6,,,,,,
,Russoya,2012.7,,2.2,,,,,,
G4.49.1 ,Russoya,2013.7,0.70677,,-6.4,57,358,0.16,0.01,2.7
,Russoya,2013.7,,2.7,,,,,,
,Russoya,2013.9,,3,,,,,,
,Russoya,2016.4,,2.9,,,,,,
,Russoya,2016.9,,3.2,,,,,,
,Russoya,2018.7,,3.5,,,,,,
,Russoya,2020.4,,4,,,,,,
G4. 58.5 ,Russoya,2022.1,0.7071,,-6.4,135,249,0.54,,4.4
,Russoya,2023.1,,4.4,,,,,,
,Russoya,2025.2,,4.1,,,,,,
,Russoya,2026.9,,3,,,,,,
,Russoya,2027.4,,4.4,,,,,,
,Russoya,2029,,5.2,,,,,,
,Russoya,2031.6,,4.5,,,,,,
,Russoya,2034.5,,4.1,,,,,,
,Russoya,2036.4,,3.3,,,,,,
,Russoya,2037.7,,3.4,,,,,,
,Russoya,2038.4,,4.4,,,,,,
,Russoya,2041,,5.2,,,,,,
,Russoya,2045.2,,3.8,,,,,,
,Russoya,2053.7,,6.5,,,,,,
G332. 377.6 ,Russoya,2055.5,0.70675,,-4.1,,,,0,7.1
,Russoya,2055.5,,7.1,,,,,,
,Russoya,2082.7,,2.3,,,,,,
,Russoya,2087.8,,2.3,,,,,,
,Russoya,2091.3,,3.8,,,,,,
,Russoya,2095.6,,2.9,,,,,,
,Russoya,2100.6,,2.5,,,,,,
,Russoya,2105.2,,3.4,,,,,,
G22. 1.3 ,Russoya,2107.3,0.70672,,,35,542,0.06,0,
,Russoya,2110.2,,4.6,,,,,,
G22. 9.1 ,Russoya,2115.1,0.70674,,-4.1,41,623,0.07,0.01,0.9
,Russoya,2115.1,,3.7,,,,,,
,Russoya,2115.4,,0.5,,,,,,
,Russoya,2123.4,,3.5,,,,,,
,Russoya,2124.5,,2.4,,,,,,
,Russoya,2125.8,,2.8,,,,,,
,Russoya,2129.2,,2.3,,,,,,
,Russoya,2131.4,,4.5,,,,,,
,Russoya,2136.8,,5.2,,,,,,
,Russoya,2137.5,,4.5,,,,,,
,Russoya,2140.4,,4.7,,,,,,
,Russoya,2147,,2.8,,,,,,
,Russoya,2149.4,,-0.3,,,,,,
,Russoya,2152.5,,-0.1,,,,,,
,Russoya,2157.4,,-1.6,,,,,,
,Russoya,2160.1,,-2.7,,,,,,
,Russoya,2160.5,,-2.5,,,,,,
,Russoya,2166.2,,-3.8,,,,,,
,Russoya,2169.4,,-4.4,,,,,,
,Russoya,2169.4,,-3.7,,,,,,
G332. 489.9 ,Russoya,2170.7,0.70675,,-2.4,,,,0,-4.8
,Russoya,2170.7,,-4,,,,,,
,Russoya,2171.4,,-4.9,,,,,,
,Russoya,2174.4,,-4.8,,,,,,
,Russoya,2175.4,,-5.7,,,,,,
,Russoya,2175.8,,-6,,,,,,
,Russoya,2177.5,,-5.6,,,,,,
,Russoya,2178.8,,-6.2,,,,,,
,Russoya,2182.8,,-5.2,,,,,,
,Russoya,2182.9,,-2.5,,,,,,
,Russoya,2183,,-5.4,,,,,,
,Russoya,2183.3,,-2.8,,,,,,
,Russoya,2183.9,,-2.9,,,,,,
,Russoya,2183.9,,-5,,,,,,
,Russoya,2184.3,,-2.7,,,,,,
,Russoya,2184.5,,-2.5,,,,,,
,Russoya,2184.8,,-4.7,,,,,,
,Russoya,2184.9,,-3.5,,,,,,
,Russoya,2185.3,,-3,,,,,,
,Russoya,2185.9,,-2.9,,,,,,
,Russoya,2186.2,,-2.6,,,,,,
,Russoya,2186.5,,-2.9,,,,,,
,Russoya,2186.9,,-3,,,,,,
,Russoya,2187.1,,-3.4,,,,,,
,Russoya,2187.4,,-2.8,,,,,,
,Russoya,2187.9,,-2.8,,,,,,
,Russoya,2188.5,,-2.7,,,,,,
,Russoya,2188.9,,-2.7,,,,,,
,Russoya,2189.1,,-3.2,,,,,,
,Russoya,2189.3,,-3.7,,,,,,