sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca
H119-68.3,Coates Lake,68.3,68.3,-6.06,-7.71,,,,,,,,,,
H119-68.9,Coates Lake,68.9,68.9,-6.52,-8.27,,,,,,,,,,
H119-69.5,Coates Lake,69.5,69.5,-6.98,-8.35,,,,,,,,,,
H119-70.3,Coates Lake,70.3,70.3,-7.31,-7.74,,,,,,,,,,
H119-70.6,Coates Lake,70.6,70.6,-7.4,-7.59,,,,,,,,,,
H119-71.3,Coates Lake,71.3,71.3,-7.46,-7.3,,,,,,,,,,
H119-71.5,Coates Lake,71.5,71.5,-7.09,-5.41,,,,,,,,,,
H119-82.8,Coates Lake,82.8,82.8,-7.28,-7.8,,,,,,,,,,
H119-83.2,Coates Lake,83.2,83.2,-7.37,-8.48,,,,,,,,,,
H119-93.0,Coates Lake,93,93,-8.16,-7.79,,,,,,,,,,
H119-132.7,Coates Lake,132.7,132.7,-9.53,-6.1,,,,,,,,,,
H119-134.8,Coates Lake,134.8,134.8,-7.94,-7.04,,,,,,,,,,
H119-135.7,Coates Lake,135.7,135.7,-6.64,-7.57,,,,,,,,,,
H119-136.3,Coates Lake,136.3,136.3,-5.22,-5.51,,,,,,,,,,
H119-137.0,Coates Lake,137,137,-8.04,-3.66,,,,,,,,,,
H119-139.4,Coates Lake,139.4,139.4,-5.67,-4.49,,,,,,,,,,
H119-140.6,Coates Lake,140.6,140.6,-5.29,-5.37,,,,,,,,,,
H119-144.0,Coates Lake,144,144,-6.45,-6.59,,,,,,,,,,
H119-146.1,Coates Lake,146.1,146.1,-5.6,-6.31,,,,,,,,,,
H119-148.1,Coates Lake,148.1,148.1,-5.25,-6.19,,,,,,,,,,
H119-150.4,Coates Lake,150.4,150.4,-5.35,-6.43,,,,,,,,,,
H119-151.9,Coates Lake,151.9,151.9,-5.87,-6.36,,,,,,,,,,
H119-155.2,Coates Lake,155.2,155.2,-7.29,-7.43,,,,,,,,,,
H119-156.6,Coates Lake,156.6,156.6,-4.09,-4.71,,,,,,,,,,
H119-158.2,Coates Lake,158.2,158.2,-3.37,-4.67,,,,,,,,,,
H119-159.7,Coates Lake,159.7,159.7,-3.92,-5.35,,,,,,,,,,
H119-163.3,Coates Lake,163.3,163.3,-5.21,-7.05,,,,,,,,,,
H119-164.6,Coates Lake,164.6,164.6,-5.28,-7.43,,,,,,,,,,
H119-169.0,Coates Lake,169,169,-4.1,-6.68,,,,,,,,,,
H119-173.8,Coates Lake,173.8,173.8,-4.14,-7.24,,,,,,,,,,
H119-176.2,Coates Lake,176.2,176.2,-2.76,-5.25,,,,,,,,,,
H119-180.2,Coates Lake,180.2,180.2,-4.3,-7.11,,,,,,,,,,
H119-183.3,Coates Lake,183.3,183.3,-4.69,-6.64,,,,,,,,,,
H119-185.9,Coates Lake,185.9,185.9,-3.67,-5.94,,,,,,,,,,
H119-187.5,Coates Lake,187.5,187.5,-3.18,-5.82,,,,,,,,,,
H119-191.1,Coates Lake,191.1,191.1,-3.15,-5.98,,,,,,,,,,
H119-192.3,Coates Lake,192.3,192.3,-1.14,-5.49,,,,,,,,,,
H119-195.6,Coates Lake,195.6,195.6,-0.94,-5.36,,,,,,,,,,
H119-196.2,Coates Lake,196.2,196.2,-0.86,-5.12,,,,,,,,,,
H119-197.9,Coates Lake,197.9,197.9,0.03,-4.99,,,,,,,,,,
H119-199.9,Coates Lake,199.9,199.9,-0.47,-4.8,,,,,,,,,,
H119-201.5,Coates Lake,201.5,201.5,-0.53,-4.46,,,,,,,,,,
H119-204.2,Coates Lake,204.2,204.2,-1.51,-4.24,,,,,,,,,,
H119-205.1,Coates Lake,205.1,205.1,-1.13,-2.79,,,,,,,,,,
H119-206.5,Coates Lake,206.5,206.5,-2.75,-1.58,,,,,,,,,,
H119-207.8,Coates Lake,207.8,207.8,-2.13,-1.41,,,,,,,,,,
H119-218.3,Coates Lake,208.3,208.3,-2.18,-2.35,0.70669,,,,,,,,,
H119-226.8,Coates Lake,210,210,-2.01,-2.35,,,,,,,,,,
H119-228.9,Coates Lake,213,213,0.13,-3.65,,,,,,,,,,
H119-230.7,Coates Lake,215,215,0.47,-3.42,,,,,,,,,,
H119-234.9,Coates Lake,216,216,1.6,-3.2,,,,,,,,,,
H119-238.6,Coates Lake,219.7,219.7,2.01,-3.59,,,,,,,,,,
H119-240.6,Coates Lake,221.7,221.7,2.81,-3.62,,,,,,,,,,
H119-243.1,Coates Lake,224.2,224.2,2.94,-3.35,,,,,,,,,,
H119-244.6,Coates Lake,225.7,225.7,3.24,-3.63,,,,,,,,,,
H119-246.0,Coates Lake,227.1,227.1,3.33,-3.3,,,,,,,,,,
H119-247.5,Coates Lake,228.6,228.6,3.33,-3.51,,,,,,,,,,
H119-249.0,Coates Lake,230.1,230.1,3.35,-3.4,,,,,,,,,,
H119-250.5,Coates Lake,231.6,231.6,3.38,-3.92,,,,,,,,,,
H119-254.9,Coates Lake,236,236,3.81,-4.18,,,,,,,,,,
H119-256.6,Coates Lake,237.7,237.7,4.17,-3.97,,,,,,,,,,
H119-258.6,Coates Lake,239.7,239.7,3.19,-4.05,,,,,,,,,,
H119-268.6,Coates Lake,249.7,249.7,4.88,-4.52,,,,,,,,,,
H119-270.1,Coates Lake,251.2,251.2,5.21,-4,,,,,,,,,,
H119-271.1,Coates Lake,252.2,252.2,4.6,-3.67,,,,,,,,,,
H119-273.0,Coates Lake,254.1,254.1,5.01,-3.46,,,,,,,,,,
H119-273.9,Coates Lake,255,255,5.17,-4.15,,,,,,,,,,
H119-275.1,Coates Lake,256.2,256.2,5.93,-2.34,,,,,,,,,,
H119-276.9,Coates Lake,258,258,6.37,-2.35,,,,,,,,,,
H119-278.0,Coates Lake,259.1,259.1,6.31,-2.18,,,,,,,,,,
H119-279.2,Coates Lake,260.3,260.3,5.94,-3.01,,,,,,,,,,
H119-280.4,Coates Lake,261.5,261.5,6.59,-2.15,,,,,,,,,,
H119-281.4,Coates Lake,262.5,262.5,6.41,-2.88,0.70664,,,,,,,,,
H119-282.9,Coates Lake,264,264,6.61,-2.62,,,,,,,,,,
H119-284.4,Coates Lake,265.5,265.5,5.99,-4.17,,,,,,,,,,
H119-285.3,Coates Lake,266.4,266.4,6.18,-5.1,,,,,,,,,,
H119-286.6,Coates Lake,267.7,267.7,4.53,-5.44,,,,,,,,,,
H119-287.9,Coates Lake,269,269,5.57,-5.86,,,,,,,,,,
H119-288.4,Coates Lake,269.5,269.5,5.06,-6.18,,,,,,,,,,
H119-289.9,Coates Lake,271,271,6.43,-5.59,,,,,,,,,,
H119-290.9,Coates Lake,272,272,5.22,-6.27,,,,,,,,,,
H119-292.4,Coates Lake,273.5,273.5,6,-5.61,,,,,,,,,,
H119-293.4,Coates Lake,274.5,274.5,4.41,-6.09,,,,,,,,,,
H119-294.9,Coates Lake,276,276,3.78,-7.06,,,,,,,,,,
H119-296.9,Coates Lake,278,278,5.5,-6.16,,,,,,,,,,
H119-298.2,Coates Lake,279.3,279.3,5.92,-6.66,,,,,,,,,,
H119-299.5,Coates Lake,280.6,280.6,5.13,-6.6,0.70674,,,,,,,,,
H119-300.8,Coates Lake,281.9,281.9,5.29,-8.49,,,,,,,,,,
H119-302.4,Coates Lake,283.5,283.5,6.07,-5.18,,,,,,,,,,
H119-304.2,Coates Lake,285.3,285.3,5.26,-6.79,,,,,,,,,,
H119-305.3,Coates Lake,286.4,286.4,6.52,-6.04,,,,,,,,,,
H119-306.7,Coates Lake,287.8,287.8,6.01,-6.27,,,,,,,,,,
H119-310.1,Coates Lake,291.2,291.2,7.64,-5.9,0.70663,,,,,,,,,
H119-314.7,Coates Lake,295.8,295.8,7.69,-5.72,,,,,,,,,,
H119-316.1,Coates Lake,297.2,297.2,7.74,-5.78,,,,,,,,,,
H119-317.7,Coates Lake,298.8,298.8,7.49,-5.34,,,,,,,,,,
H119-319.0,Coates Lake,300.1,300.1,7.95,-5.26,,,,,,,,,,
H119-320.5,Coates Lake,301.6,301.6,7.91,-5.3,,,,,,,,,,
H119-322.7,Coates Lake,303.8,303.8,8.07,-5.16,0.70666,,,,,,,,,
H119-325.4,Coates Lake,306.5,306.5,6.08,-3.14,,,,,,,,,,
H119-326.9,Coates Lake,308,308,5.06,-4.34,,,,,,,,,,
H119-328.4,Coates Lake,309.5,309.5,5.6,-4.69,,,,,,,,,,
H119-345.0,Coates Lake,326.1,326.1,1.42,-7.17,,,,,,,,,,
H119-346.5,Coates Lake,327.6,327.6,2.8,-9.89,,,,,,,,,,
H119-347.3,Coates Lake,328.4,328.4,3.02,-19.12,,,,,,,,,,
H119-348.5,Coates Lake,329.6,329.6,4.26,-12.34,,,,,,,,,,
H119-350.5,Coates Lake,331.6,331.6,5.14,-16.36,,,,,,,,,,
H119-351.3,Coates Lake,332.4,332.4,4.5,-15.55,,,,,,,,,,
H119-352.4,Coates Lake,333.5,333.5,5.2,-17.08,,,,,,,,,,
H119-352.8,Coates Lake,333.9,333.9,3.29,-15.74,,,,,,,,,,
H119-354.3,Coates Lake,335.4,335.4,2.71,-14.1,,,,,,,,,,
H119-355.0,Coates Lake,336.1,336.1,3.69,-14.27,,,,,,,,,,
H119-355.5,Coates Lake,336.6,336.6,3.7,-14.61,,,,,,,,,,
H119-356.0,Coates Lake,337.1,337.1,4.29,-12.82,,,,,,,,,,
H119-356.2,Coates Lake,337.3,337.3,4.5,-12.75,,,,,,,,,,
H119-356.5,Coates Lake,337.6,337.6,4.54,-12.5,,,,,,,,,,
H119-356.7,Coates Lake,337.8,337.8,4.63,-12.61,,,,,,,,,,
H119-356.8,Coates Lake,337.9,337.9,3.73,-12.68,,,,,,,,,,