Twitya,sample,strat_m,lithology,d13C,d18O,87Sr/86Sr,Sr_ppm,Mn_ppm,Mn/Sr,carb_percent,Mg/Ca
F1173,0.1,0.1,dgy lime micrite,-2.1,-8.4,0.70693,641.00,468.00,0.70,96.1,0.01235
F1173,0.5,0.5,dgy lime micrite,-2.69,-8.66,0.70751,,,,,
F1173,1,1,dgy lime micrite,-2.47,-8.56,0.7069,,,,,
F1173,1.6,1.6,dgy lime micrite,-0.95,-8.89,0.70686,,,,,
F1173,2,2,dgy lime micrite,-1.5,-6.92,0.70678,,,,,
F1173,2.6,2.6,dgy lime micrite,-0.94,-8.53,0.70681,,,,,
F1173,3.1,3.1,dgy lime micrite,-0.66,-8.41,0.70672,2763.00,176.00,0.06,98,0.01235
F1173,3,3,dgy lime micrite,-0.89,-8.73,,,,,,
F1173,3.7,3.7,dgy lime micrite,,,0.70675,,,,,
F1173,4.3,4.3,dgy lime micrite,-0.74,-8.77,,,,,,
F1173,4.9,4.9,dgy lime micrite,-0.65,-8.8,0.70682,,,,,
F1173,5.5,5.5,dgy lime micrite,-0.5,-8.78,0.70681,,,,,
F1173,6,6,dgy lime micrite,-0.78,-9.03,0.7068,2825.00,439.00,0.15,96,0.03005
F1173,6.5,6.5,dgy lime micrite,-0.59,-8.83,,,,,,
F1173,7,7,dgy lime micrite,-0.67,-8.9,,,,,,
F1173,7.5,7.5,dgy lime micrite,-0.92,-8.6,0.70676,3345.00,209.00,0.06,98,0.01344
F1173,8,8,dgy lime micrite,-0.9,-9.25,0.70676,3052.00,210.00,0.07,100,0.01487
F1173,8.5,8.5,dgy lime micrite,-0.9,-9.03,,,,,,
F1173,9,9,dgy lime micrite,-0.93,-9.08,,,,,,
F1173,9.5,9.5,dgy lime micrite,-0.98,-9.07,0.70674,3808.00,137.00,0.04,98,0.01118
F1173,10,10,dgy lime micrite,-0.87,-9.26,,,,,,
F1173,10.5,10.5,dgy lime micrite,-0.51,-9.25,0.70682,2248.00,761.00,0.33,98,0.03263
F1173,11,11,dgy lime micrite,-0.34,-8.8,0.70685,2082.00,468.00,0.23,100,0.02748
F1173,11.5,11.5,dgy lime micrite,-0.25,-8.82,0.70677,3007.00,597.00,0.20,100,0.03911
F1173,12,12,dgy lime micrite,-0.55,-8.81,0.70681,2761.00,579.00,0.21,100,0.11319
F1173,12.5,12.5,dgy lime micrite,-0.62,-8.31,,,,,,
F1173,13,13,dgy lime micrite,-0.57,-9.16,,,,,,
F1173,13.5,13.5,dgy lime micrite,-0.28,-8.81,,,,,,
F1173,14,14,dgy lime micrite,-0.33,-7.93,0.70676,3512.00,1220.00,0.35,100,0.02686
F1173,14.5,14.5,dgy lime micrite,-0.16,-8.78,0.70679,2240.00,733.00,0.33,100,0.03638
F1173,15,15,dgy lime micrite,-0.26,-8.46,,,,,,
F1173,15.5,15.5,dgy lime micrite,-0.18,-9.03,,,,,,
F1173,16,16,dgy lime micrite,-0.77,-9,,,,,,
F1173,16.5,16.5,dgy lime micrite,-0.22,-9.21,0.70681,3084.00,663.00,0.21,95.9,0.03936
F1173,17,17,dgy lime micrite,-0.36,-8.5,0.70692,2924.00,905.00,0.30,96,0.10666
F1173,17.5,17.5,dgy lime micrite,-0.24,-6.51,0.70677,3340.00,1319.00,0.39,98,0.02427
F1173,18,18,dgy lime micrite,-0.38,-7.56,,,,,,
F1173,18.5,18.5,dgy lime micrite,-0.2,-9.15,,,,,,
F1173,19,19,dgy lime micrite,0.04,-9.02,0.70679,2372.00,509.00,0.20,94.1,0.03203
F1173,19.5,19.5,dgy lime micrite,0.04,-9.25,0.70683,2594.00,615.00,0.22,94.1,0.03571
F1173,20,20,dgy lime micrite,-0.09,-8.53,,,,,,
F1173,20.5,20.5,dgy lime micrite,-0.11,-9.23,0.70684,3240.00,662.00,0.20,98,0.02726
F1173,21,21,dgy lime micrite,-0.15,-9.81,0.70692,2062.00,538.00,0.25,96,0.02899
F1173,21.5,21.5,dgy lime micrite,-0.24,-8.66,,,,,,
F1173,22,22,dgy lime micrite,-0.03,-8.92,0.70686,2671.00,735.00,0.24,88.2,0.06239
F1173,22.5,22.5,dgy lime micrite,0.01,-9.01,,,,,,
F1173,23,23,dgy lime micrite,-0.6,-9.1,0.70681,3470.00,593.00,0.16,94.1,0.05661
F1173,23.5,23.5,dgy lime micrite,-1.5,-10.48,,,,,,
F1173,24.5,24.5,dgy lime micrite,-0.01,-8.79,,,,,,
F1173,25,25,dgy lime micrite,0.25,-8.62,,,,,,
F1173,25.5,25.5,dgy lime micrite,0.38,-9.14,0.70683,2675.00,381.00,0.14,98,0.03017
F1173,26,26,dgy lime micrite,0.34,-9.2,,,,,,
F1173,26.5,26.5,dgy lime micrite,0.09,-9.17,,,,,,
F1173,27,27,dgy lime micrite,0.73,-5.28,0.70684,1513.00,703.00,0.45,96.1,0.09318
F1173,27.5,27.5,dgy lime micrite,-0.68,-8.46,0.70687,2898.00,455.00,0.15,98,0.11465
F1173,28,28,dgy lime micrite,-0.23,-8.73,0.70701,2283.00,483.00,0.18,85.7,0.14863
F1173,28.5,28.5,dgy lime micrite,0.29,-7.65,,,,,,
F1173,29.5,29.5,dgy lime micrite,-0.02,-9.85,0.70692,2454.00,300.00,0.10,84,0.04424
F1173,30,30,dgy lime micrite,0.67,-9.9,,,,,,