section,sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca
,-,,,0,,,,,,,,,,,,
P11A,P11A-3.2,Little Dal,3.2,3.2,0.4,-9.01,,25.86,919.43,13447.92,58215.04,105115.34,49.31,403.66,29.74,0.91
P11A,P11A-4.7,Little Dal,4.7,4.7,0.88,-8.51,,26.94,750.66,11029.81,49081.23,90907.85,42.62,341.69,28.09,0.89
P11A,P11A-8.3,Little Dal,8.3,8.3,0.55,-8.1,,48.08,447.63,13197.55,33832.41,67991.62,33.52,270.88,21.3,0.82
P11A,P11A-9.1,Little Dal,9.1,9.1,0.48,-8.54,,47.53,458.54,13891.15,33218.49,67233.24,34.77,275.34,21.04,0.81
P11A,P11A-10.5,Little Dal,10.5,10.5,0.29,-8.85,,,,,,,,,,
P11A,P11A-30.0,Little Dal,30,30,0.8,-7.58,,27.34,354.14,9837.91,76343.33,153589.44,77.25,568.53,7.31,0.82
P11A,P11A-33.0,Little Dal,33,33,0.3,-6.98,0.71141,26.06,248.55,6854.3,71426.24,133585.27,70.34,504.8,5.64,0.88
P11A,P11A-36.2,Little Dal,36.2,36.2,0.29,-8.5,,23.4,319.31,9340.28,92034.48,179112.13,116.58,499.2,4.37,0.85
P11A,P11A-37.1,Little Dal,37.1,37.1,0.27,-8.22,,26.26,290.3,8987.65,74828.31,135056.04,90.78,361.4,5.1,0.91
P11A,P11A-38.6,Little Dal,38.6,38.6,0.41,-8.26,,23.38,328.22,10135.05,100016.18,196825.65,134.17,565.93,3.9,0.84
P11A,P11A-39.6,Little Dal,39.6,39.6,1.01,-7.66,,24.68,256.77,7387.96,84946.61,157914.71,112.35,685.44,3.65,0.89
P11A,P11A-40.9,Little Dal,40.9,40.9,0.13,-10.27,,21.42,335.57,8254.16,83274.28,165665.86,123.7,383.27,4.33,0.83
P11A,P11A-41.5,Little Dal,41.5,41.5,0.16,-9.43,,21.68,319.07,7335.53,71661.27,206048.79,145.01,403.6,3.51,0.57
P11A,P11A-41.8,Little Dal,41.8,41.8,0.62,-9.86,,15.47,249.74,3762.69,12528.11,323275.65,188.03,612.07,2.12,0.06
P11A,P11A-43.5,Little Dal,43.5,43.5,0.81,-9.36,,22.6,230.37,5773.16,66143.09,162228.99,113.9,358.93,3.23,0.67
P11A,P11A-44.5,Little Dal,44.5,44.5,0.57,-8.84,,,,,,,,,,
P11A,P11A-46.7,Little Dal,46.7,46.7,0.43,-9.63,,11.33,130.05,460.72,5120.13,366338.05,300.28,549.84,0.69,0.02
P11A,P11A-50.5,Little Dal,50.5,50.5,0.95,-9.78,,14.3,248.99,695.95,7575.06,353337.89,204.12,594.78,1.95,0.04
P11A,P11A-53.0,Little Dal,53,53,0.35,-8.96,,,,,,,,,,
P11A,P11A-56.1,Little Dal,56.1,56.1,0.65,-8.79,,9.18,420.05,567.35,4778.18,323457.18,267.79,542.39,2.5,0.02
P11A,P11A-58.6,Little Dal,58.6,58.6,1.37,-8.63,,13.07,287.01,1038.84,5524.58,338791.37,267.81,550.28,1.71,0.03
P11A,P11A-62.4,Little Dal,62.4,62.4,1.21,-9.2,,14.42,196.91,1028.39,4579.14,316812.76,251.37,503.18,1.25,0.02
P11A,P11A-64.5,Little Dal,64.5,64.5,1.4,-8.52,,12.84,164.8,630.39,4790.87,361645.83,249.21,611.95,1.05,0.02
P11A,P11A-67.2,Little Dal,67.2,67.2,1.69,-8.9,,14.65,131.63,700.41,5161.59,341363.81,344.4,553.79,0.61,0.02
P11A,P11A-68.4,Little Dal,68.4,68.4,1.12,-8.65,,16.62,199.17,676.28,2637.03,361098.68,176.75,560.85,1.8,0.01
P11A,P11A-70.0,Little Dal,70,70,1.53,-10.88,,10.86,203.6,569.27,4241.74,330949.73,260.35,504,1.25,0.02
P11A,P11A-71.4,Little Dal,71.4,71.4,1.59,-8.18,,12.14,199,787.18,4980.77,342687.89,234.25,558.54,1.35,0.02
P11A,P11A-73.3,Little Dal,73.3,73.3,1.58,-8.6,,11.4,114.76,298.4,6806.84,354730.68,305.19,555.88,0.6,0.03
P11A,P11A-75.9,Little Dal,75.9,75.9,2.17,-8.28,,15.12,190.74,2030.54,46198.09,256765.95,163.28,603.68,1.86,0.3
P11A,P11A-78.1,Little Dal,78.1,78.1,1.68,-7.81,,16.52,221.31,2287.94,56404.59,258850.9,114.91,515.38,3.07,0.36
P11A,P11A-84.8,Little Dal,84.8,84.8,2.73,-8.7,,10.23,81.24,142.28,5234.89,332406,301.74,574.72,0.43,0.03
P11A,P11A-87.5,Little Dal,87.5,87.5,2.4,-8,,9.81,86.17,304.17,7818.96,342763.43,191.63,520.18,0.72,0.04
P11A,P11A-91.4,Little Dal,91.4,91.4,3.26,-8,,12.86,105.05,935.47,42219.84,293963.19,152.69,591.26,1.1,0.24
P11A,P11A-93.7,Little Dal,93.7,93.7,2.72,-8.62,,9.01,71.41,235.34,3193.65,353470.53,175.89,566.04,0.65,0.01
P11A,P11A-95.1,Little Dal,95.1,95.1,2.68,-8.62,,10.41,76.75,313.83,3990.53,363403.4,157.26,567.29,0.78,0.02
P11A,P11A-103.5,Little Dal,103.5,103.5,2.77,-8.26,,12.93,121.67,603.73,4979.01,443856.41,127.19,646.39,1.53,0.02
P11A,P11A-107.4,Little Dal,107.4,107.4,3.09,-8.07,0.70687,,,,,,,,,
P11A,P11A-110.1,Little Dal,110.1,110.1,3.33,-8.04,,10.74,100.7,1018.36,7419,358033.83,264.7,554.71,0.61,0.03
P11A,P11A-113.2,Little Dal,113.2,113.2,1.97,-6.59,,12.52,116.75,724.06,8250.45,350644.45,180.46,576.54,1.03,0.04
P11A,P11A-115.0,Little Dal,115,115,5.04,-8.13,,,,,,,,,,
P11A,P11A-116.5,Little Dal,116.5,116.5,3.94,-7.93,,12.17,179.04,734.57,8041.9,321858.67,266.74,585.76,1.07,0.04
P11A,P11A-119.0,Little Dal,119,119,3.75,-9.1,,,,,,,,,,
P11A,P11A-121.5,Little Dal,121.5,121.5,3.92,-8.64,,10.52,115.45,323.5,3604.39,359178.15,137.29,566.62,1.34,0.02
P11A,P11A-123.0,Little Dal,123,123,4.16,-7.95,0.70662,10.52,94.23,494.29,5860.34,340811.41,378.46,645.57,0.4,0.03
P11A,P11A-126.1,Little Dal,126.1,126.1,4.58,-7.98,,11.58,88.31,2446.82,11904.53,331365.41,364.69,613,0.39,0.06
P11A,P11A-127.8,Little Dal,127.8,127.8,4.56,-7.72,,8.59,56.68,516.97,3965.54,277550.19,166.47,452.39,0.54,0.02
P11A,P11A-129.3,Little Dal,129.3,129.3,4.03,-8.82,,,,,,,,,,
P11A,P11A-130.6,Little Dal,130.6,130.6,4.98,-7.31,,,,,,,,,,
P11A,P11A-132.9,Little Dal,132.9,132.9,4.96,-7.52,,,,,,,,,,
P11A,P11A-138.8,Little Dal,138.8,138.8,4.91,-7.22,,,,,,,,,,
P11A,P11A-141.8,Little Dal,141.8,141.8,5.17,-6.41,,,,,,,,,,
P11A,P11A-142.8,Little Dal,142.8,142.8,5.25,-6.58,,,,,,,,,,
P11A,P11A-145.2,Little Dal,145.2,145.2,5.47,-6.49,,,,,,,,,,
P11A,P11A-148.1,Little Dal,148.1,148.1,4.29,-8.36,,,,,,,,,,
P11A,P11A-150.5,Little Dal,150.5,150.5,5.32,-6.65,,,,,,,,,,
P11A,P11A-153.5,Little Dal,153.5,153.5,5.08,-6.41,,,,,,,,,,
P11A,P11A-155.0,Little Dal,155,155,4.06,-7.56,,10.32,68.72,470.71,5099.35,338921.62,260.17,573.18,0.42,0.02
P11A,P11A-157.5,Little Dal,157.5,157.5,3.45,-6.59,,22.98,461.56,16156.89,68984.68,171564.01,104.34,423.26,7.06,0.66
P11A,P11A-159.0,Little Dal,159,159,3.19,-7.79,,17.18,242.11,2216.67,5882.22,276081.32,257.92,479.1,1.5,0.04
P11A,P11A-161.0,Little Dal,161,161,3.62,-7.11,0.71208,19.04,375.04,11527.48,53293.82,213056.3,107.35,495.69,5.57,0.41
P11A,P11A-163.0,Little Dal,163,163,3.12,-7.82,,11.04,195.82,2641.29,12373.44,309669.84,280.11,574.46,1.11,0.07
P11A,P11A-164.5,Little Dal,164.5,164.5,3.61,-7.32,,18.76,257.95,7872.48,31113.41,169503.84,94.14,368.56,4.37,0.3
P11A,P11A-165.7,Little Dal,165.7,165.7,3.45,-7.77,,21.67,222.42,3948.83,17610.42,250817.85,183.7,483.06,1.93,0.12
P11A,P11A-167.6,Little Dal,167.6,167.6,3.75,-7.18,,17.35,302.49,9262.7,47317.43,203472.07,120.17,384.1,4.01,0.38
P11A,P11A-170.0,Little Dal,170,170,4.03,-7.09,,18.53,295.13,9526.36,46352.65,211771.07,104.38,422.23,4.51,0.36
P11A,P11A-171.4,Little Dal,171.4,171.4,4.29,-7.33,,19.62,317.64,8425.32,51790.95,221276.35,89.11,470.86,5.68,0.39
P11A,P11A-172.9,Little Dal,172.9,172.9,3.87,-7.58,,13.13,173.27,1385.45,8325.35,301487.94,253.98,549.99,1.09,0.05
P11A,P11A-174.1,Little Dal,174.1,174.1,3.88,-7.75,,10.84,149.09,1290.59,5788.17,310988.9,212.21,490.52,1.12,0.03
P11A,P11A-174.8,Little Dal,174.8,174.8,4,-9.46,,12.53,172.25,1708.3,4377.72,272816.22,282.2,464.32,0.97,0.03
P11A,P11A-175.8,Little Dal,175.8,175.8,4.4,-6.53,,21.27,406.12,13110.43,79883.12,210757.21,74.11,527.73,8.74,0.63
P11A,P11A-177.3,Little Dal,177.3,177.3,4.1,-7.74,,19.02,215.95,1167.9,5532.06,347458.34,340.1,549.61,1.01,0.03
P11A,P11A-179.3,Little Dal,179.3,179.3,4.05,-7.88,,11.92,176.69,1279.98,7461.17,321937.05,279.49,571.23,1.01,0.04
P11A,P11A-181.0,Little Dal,181,181,4,-7.84,,11.97,349.64,2612.06,10331.18,318995.97,130.61,549.28,4.27,0.05
P11A,P11A-182.5,Little Dal,182.5,182.5,4.23,-7.53,,39.97,171.53,1751.02,5372.2,323850.05,221.67,492.3,1.23,0.03
P11A,P11A-185.7,Little Dal,185.7,185.7,4.16,-7.66,,12.12,166.72,2256.2,5713.05,260515.33,239.2,459.21,1.11,0.04
P11A,P11A-188.9,Little Dal,188.9,188.9,4.74,-7.11,0.71119,21.75,340.2,8986.9,53408.52,219585.4,83.32,482.1,6.51,0.4
P11A,P11A-190.8,Little Dal,190.8,190.8,4.16,-7.53,,14.31,236.41,1557.83,4328.08,333079.1,179.89,590.28,2.1,0.02
P11A,P11A-192.6,Little Dal,192.6,192.6,4.29,-7.56,,,,,,,,,,
P11A,P11A-194.5,Little Dal,194.5,194.5,4.42,-7.49,,15.31,205.89,2866.67,11905.3,312751.69,285.21,562.5,1.15,0.06
P11A,P11A-196.9,Little Dal,196.9,196.9,4.38,-7.61,,15.6,177.62,2273.28,7339.43,320820.91,266.57,557.31,1.06,0.04
P11A,P11A-199.5,Little Dal,199.5,199.5,4.2,-7.74,,12.12,183.65,1878.48,5468.96,318301.92,314.87,572.11,0.93,0.03
P11A,P11A-201.4,Little Dal,201.4,201.4,4.31,-7.76,,14.99,196.5,1934.86,4941.23,310529.59,319.48,523.36,0.98,0.03
P11A,P11A-203.3,Little Dal,203.3,203.3,5.45,-7.74,,17.54,235.1,7262.68,21461.63,271421.86,194.72,489.69,1.93,0.13
P11A,P11A-205.6,Little Dal,205.6,205.6,4.55,-7.9,,13.51,140.45,940.01,4561.52,337984.66,291.41,587.09,0.77,0.02
P11A,P11A-207.7,Little Dal,207.7,207.7,4.56,-7.51,,12.69,105.39,687.99,4334.53,330161.24,187.62,582.14,0.9,0.02
P11A,P11A-210.0,Little Dal,210,210,5.22,-7.05,0.71086,17.23,221.43,9234.03,43086.38,257050.1,163.53,469.17,2.16,0.28
P11A,P11A-212.0,Little Dal,212,212,4.42,-7.98,,10.68,137.94,876.56,4418.04,307591.38,164.83,548.33,1.33,0.02
P11A,P11A-213.6,Little Dal,213.6,213.6,4.36,-7.59,,,,,,,,,,
P11A,P11A-216.5,Little Dal,216.5,216.5,4.97,-7.51,,,,,,,,,,
P11A,P11A-219.5,Little Dal,219.5,219.5,4.72,-7.79,,,,,,,,,,
P11A,P11A-221.2,Little Dal,221.2,221.2,4.68,-7.52,,,,,,,,,,
P11A,P11A-224.0,Little Dal,224,224,4.47,-7.44,,,,,,,,,,
P11A,P11A-225.9,Little Dal,225.9,225.9,4.47,-7.68,,,,,,,,,,
P11A,P11A-228.9,Little Dal,228.9,228.9,4.82,-7.46,,,,,,,,,,
P11A,P11A-230.8,Little Dal,230.8,230.8,4.4,-8.04,,,,,,,,,,
P11A,P11A-234.1,Little Dal,234.1,234.1,4.57,-7.54,,,,,,,,,,
P11A,P11A-236.0,Little Dal,236,236,4.4,-7.87,,,,,,,,,,
P11A,P11A-238.7,Little Dal,238.7,238.7,5.3,-7.44,,,,,,,,,,
P11A,P11A-242.1,Little Dal,242.1,242.1,4.62,-7.83,,,,,,,,,,
P11A,P11A-244.0,Little Dal,244,244,4.1,-8.48,,,,,,,,,,
P11A,P11A-247.1,Little Dal,247.1,247.1,4.25,-7.88,,,,,,,,,,
P11A,P11A-250.7,Little Dal,250.7,250.7,4,-8.65,,,,,,,,,,
P11A,P11A-257.9,Little Dal,257.9,255.2,5.05,-8.99,,,,,,,,,,
P11A,P11A-255.2,Little Dal,255.2,257.9,3.74,-9.42,,,,,,,,,,
P11A,P11A-260.5,Little Dal,260.5,260.5,4.63,-8.62,,,,,,,,,,
P11A,P11A-262.6,Little Dal,262.6,262.6,4.53,-10,,,,,,,,,,
P11A,P11A-265.3,Little Dal,265.3,265.3,4.25,-8.63,,,,,,,,,,
P11A,P11A-267.0,Little Dal,267,267,5.35,-7.19,,,,,,,,,,
P11A,P11A-269.2,Little Dal,269.2,269.2,4.17,-10.52,,,,,,,,,,
P11A,P11A-272.3,Little Dal,272.3,272.3,4.4,-8.38,,,,,,,,,,
P11A,P11A-273.0,Little Dal,273,273,4.43,-8.46,,,,,,,,,,
P11A,P11A-275.0,Little Dal,275,275,4.27,-8.26,,,,,,,,,,
P11A,P11A-278.0,Little Dal,278,278,3.78,-8.72,,,,,,,,,,
G12,G12--1.4,Little Dal,-1.4,278.6,3.7,-9.49,,16.64,31.65,648.46,4097.32,409799.88,139.37,1196.57,0.36,0.02
P11A,P11A-280.0,Little Dal,280,280,3.94,-9.1,,,,,,,,,,
G12,G12-0.3,Little Dal,0.3,281.5,3.79,-10.06,,17.8,46.59,516.45,5650.32,370978.91,171.96,936.19,0.43,0.03
G12,G12-3.0,Little Dal,3,284.2,3.67,-9.41,,13.7,67.5,1202.62,19345.33,350472.84,113.69,936.57,0.95,0.09
G12,G12-6.0,Little Dal,6,287.2,4.28,-8.47,,14.53,117.99,3291.35,62507.91,281617.63,96.78,894.36,1.94,0.37
G12,G12-8.8,Little Dal,8.8,290,3.67,-9.14,,15.49,57.74,1280.6,18405.58,365372.39,130.49,965.27,0.71,0.08
G12,G12-13.1,Little Dal,13.1,294.3,3.94,-8.76,,19.04,154.36,3029.63,47285.18,355143.7,98.39,1051.66,2.5,0.22
G12,G12-17.3,Little Dal,17.3,298.5,3.97,-8.01,,21.12,272.96,10056.52,77979,296957.54,67.05,957.81,6.49,0.43
G12,G12-19.0,Little Dal,19,300.2,3.02,-10.85,,38.43,213.28,9213.35,18348.85,247041.74,93.29,755.08,3.65,0.12
G12,G12-22.0,Little Dal,22,303.2,3.35,-9.24,,32.77,220.86,7137.08,20654.21,327005.94,125.24,934.02,2.81,0.1
G12,G12-24.1,Little Dal,24.1,305.3,3.33,-9.38,,24.6,148.38,4561.28,15328.81,290163.62,147.45,822.28,1.61,0.09
G12,G12-26.9,Little Dal,26.9,308.1,3.91,-9.73,,25.53,161.45,4830.6,13018.54,340635.96,137.76,908.37,1.87,0.06
G12,G12-30.6,Little Dal,30.6,311.8,3.06,-10.51,,22.82,281.03,3949.36,4863.6,318069.13,132.78,827.03,3.38,0.03
G12,G12-32.7,Little Dal,32.7,313.9,3.51,-8.88,,27.99,194.94,3312.82,4667.61,332654.95,136.96,877.37,2.27,0.02
G12,G12-37.1,Little Dal,37.1,318.3,4.35,-9,,18.02,124.34,3510.44,6465.6,328175.75,148.1,833.23,1.34,0.03
G12,G12-40.4,Little Dal,40.4,321.6,3.15,-8.59,,21.33,172.76,1478.05,4265.66,402960.23,146.75,1013.31,1.88,0.02
G12,G12-43.9,Little Dal,43.9,325.1,3.15,-8.06,,18.39,35.66,634.04,4087.76,384088.36,131.03,966.57,0.43,0.02
G12,G12-47.4,Little Dal,47.4,328.6,4.78,-7.05,0.70748,17.31,35.87,978.61,4876.59,371541.22,154.05,889.79,0.37,0.02
G12,G12-51.3,Little Dal,51.3,332.5,5.47,-7,,16.97,19.78,323.75,4658.04,364516.96,200.47,897.15,0.16,0.02
G12,G12-54.5,Little Dal,54.5,335.7,5.42,-6.91,,14.48,3.37,150.36,4824.67,368452.14,199.48,1013.6,0.03,0.02
G12,G12-57.0,Little Dal,57,338.2,4.68,-7.16,,12.71,27.69,304.8,3086.06,358160.33,124.34,882.61,0.36,0.01
G12,G12-60.5,Little Dal,60.5,341.7,5.01,-7.36,0.70623,18.23,5.87,320.33,5009.24,376238.13,236.3,942.7,0.04,0.02
G12,G12-64.1,Little Dal,64.1,345.3,5.14,-7.09,0.7063,11.63,28.85,289.11,4157.44,326148.92,139.98,818.96,0.33,0.02
G12,G12-66.9,Little Dal,66.9,348.1,5.1,-7.35,,15.11,35.83,506.95,8225.4,295119.07,160.69,801.51,0.36,0.05
G12,G12-70.5,Little Dal,70.5,351.7,5.06,-7.71,,11.57,21.69,209.57,3310.1,333179.71,141.84,867.31,0.24,0.02
G12,G12-74.9,Little Dal,74.9,356.1,5.24,-8.01,,14.24,11.8,239.39,3003.58,380691.59,130.65,1050.39,0.14,0.01
G12,G12-79.1,Little Dal,79.1,360.3,5.27,-9.58,,14.28,30.61,266.85,3020.15,368815,129.43,911.46,0.38,0.01
G12,G12-82.1,Little Dal,82.1,363.3,5.13,-7.75,,16.01,16.04,212.86,5004.32,346669.88,202.92,862.26,0.13,0.02
G12,G12-85.0,Little Dal,85,366.2,4.97,-8.24,,17.74,11.33,331.14,3095.36,389642.07,160.57,951.31,0.11,0.01
G12,G12-87.7,Little Dal,87.7,368.9,4.57,-9.09,,20.81,4.38,201.34,3445.79,437234.58,227.87,1097.86,0.03,0.01
G12,G12-92.1,Little Dal,92.1,373.3,4.59,-7.91,,16.82,76.06,1452.78,61086.91,314581.45,104.29,968.72,1.16,0.32
G12,G12-95.6,Little Dal,95.6,376.8,4.52,-7.73,,16.06,19.31,312.66,7095.13,354718.03,176.01,938.42,0.17,0.03
G12,G12-98.0,Little Dal,98,379.2,3.84,-7.78,,16.82,0.22,140.27,3325.23,393014.43,191.78,1023.21,0,0.01
G12,G12-100.0,Little Dal,100,381.2,4.76,-8.1,0.70561,14.51,1.06,236.91,4932.61,362048.37,414.7,911.59,0,0.02
G12,G12-102.6,Little Dal,102.6,383.8,5.29,-10.34,,15.7,2.65,278.64,2764.92,380323.53,239.66,920.25,0.02,0.01
