sample,region,unit,strat_m,87Sr/86Sr,Halverson_age,d13C,d18O,Mn_ppm,Sr_ppm,Mn/Sr,Mg/Ca
C46. 84.2,N. Namibia,Maeiberg Fm.,84.2,0.70805,633,-4.1,-10.1,167,894,0.19,0.02
C46. 74.4,N. Namibia,Maeiberg Fm.,74.4,0.70805,633.3,,,174,1225,0.14,0.03
C46. 63.2,N. Namibia,Maeiberg Fm.,63.2,0.70796,,-4.5,-10.2,104,577,0.18,0.02
C46. 51.2,N. Namibia,Maeiberg Fm.,51.2,0.70814,,-4.6,-9.9,148,556,0.27,0.02
C46. 41,N. Namibia,Maeiberg Fm.,41,0.70863,,-5,-10.2,148,359,0.41,0.01
C46. 30.7,N. Namibia,Maeiberg Fm.,30.7,0.709,,-5,-9.9,223,323,0.69,0.02
C46. 20.2,N. Namibia,Maeiberg Fm.,20.2,0.70717,634.8,-5,-10.2,105,1787,0.06,0.01
C46. 13.7,N. Namibia,Maeiberg Fm.,13.7,0.7091,,-5.1,-10,130,263,0.49,0.03
C46. 9,N. Namibia,Maeiberg Fm.,9,0.70855,,-5.2,-10.1,141,386,0.36,0.02
C46. 5.8,N. Namibia,Maeiberg Fm.,5.8,0.70956,,,,173,51,3.42,0.61
C46. 4.5,N. Namibia,Maeiberg Fm.,4.5,0.7096,,-4.1,-7.5,126,117,1.08,0.58
C46. 3,N. Namibia,Maeiberg Fm.,3,0.71355,,,,1972,156,12.68,0.57
C46. 0,N. Namibia,Maeiberg Fm.,0,0.71346,,-3.8,-9.5,180,282,0.64,0.5
P1012. 186.7X,N. Namibia,Maeiberg Fm.,186.7,0.70755,634.2,-4,-9.1,20,685,0.03,0.01
P1012. 158.5X,N. Namibia,Maeiberg Fm.,158.5,0.70752,634.3,-5.2,-8.8,41,1902,0.02,0.01
P1012. 151.2X,N. Namibia,Maeiberg Fm.,151.2,0.70756,634.3,,,20,4270,0,0
P1012. 150.2X,N. Namibia,Maeiberg Fm.,150.2,0.70756,634.3,,,104,942,0.11,0.01
P1012. 141.7X,N. Namibia,Maeiberg Fm.,141.7,0.70744,,-5.6,-12.3,11,547,0.02,0.01
P1012. 124.5X,N. Namibia,Maeiberg Fm.,124.5,0.70766,,-4.3,-9.2,43,637,0.07,0.03
P1012. 105.2X,N. Namibia,Maeiberg Fm.,105.2,0.70756,634.4,,,,1281,,0.01
P1012. 96.7X,N. Namibia,Maeiberg Fm.,96.7,0.70748,,-4.4,-11.3,50,1381,0.04,0.02
P1012. 96.2X,N. Namibia,Maeiberg Fm.,96.2,0.70748,634.4,-4.4,-11.3,40,1355,0.03,0.01
P1012. 87.9X,N. Namibia,Maeiberg Fm.,87.9,0.70758,634.5,-4.4,-9.1,82,1174,0.07,0.03
P1012. 471,N. Namibia,Maeiberg Fm.,76.5,0.70799,,-5,-13,138,368,0.38,0.02
P1012. 454,N. Namibia,Maeiberg Fm.,59.5,0.70868,,-5.7,-11,515,253,2.04,0.02
P1012. 58.6X,N. Namibia,Maeiberg Fm.,58.6,0.71117,,-6.3,-11.6,429,272,1.58,0.02
P1012. 40.3X,N. Namibia,Maeiberg Fm.,40.3,0.71069,,-5.8,-12,163,114,1.44,0.01
P1012. 434,N. Namibia,Maeiberg Fm.,39.5,0.7107,,-6,-11.7,385,266,1.45,0.01
P1012. 533,N. Namibia,Maeiberg Fm.,36.8,0.71146,,,,447,235,1.9,0.02
P1012. 426,N. Namibia,Maeiberg Fm.,29.8,0.7128,,-5.6,-10.6,463,219,2.12,0.09
P1012. 424,N. Namibia,Maeiberg Fm.,27.8,0.71279,,-5.7,-13,393,201,1.96,0.05
P1012. 422,N. Namibia,Maeiberg Fm.,25.8,0.71815,,-5.7,-11,652,90,7.22,0.59
P1012. 419K,N. Namibia,Maeiberg Fm.,22.8,0.71282,,-4.4,-8.5,583,94,6.19,0.57
P1012. 417,N. Namibia,Maeiberg Fm.,20.8,0.71341,,-4.4,-8.2,571,100,5.69,0.58
P1012. 415K,N. Namibia,Maeiberg Fm.,18.8,0.71175,,-4.8,-9,442,109,4.05,0.57
P1012. 413K,N. Namibia,Maeiberg Fm.,16.8,0.71107,,,,303,84,3.61,0.59
P1012. 412,N. Namibia,Maeiberg Fm.,15.8,0.71468,,-4.1,-7.8,,,,
P1012. 411,N. Namibia,Maeiberg Fm.,14.8,0.71067,,-4.1,-7.8,175,109,1.61,0.57
P1012. 407,N. Namibia,Maeiberg Fm.,12.5,0.71152,,-4,-7.6,,,,
P1012. 406K,N. Namibia,Maeiberg Fm.,9.8,0.70859,,,,78,88,0.89,0.63
P1012. 406,N. Namibia,Maeiberg Fm.,9.8,0.70859,,,,102,105,0.97,0.58
P1012. 405,N. Namibia,Maeiberg Fm.,8.8,0.7088,,-3.5,-5.6,62,82,0.76,0.58
P1012. 397,N. Namibia,Maeiberg Fm.,2.5,0.70876,,-2.9,-6.4,64,88,0.73,0.59
P1012. 398K,N. Namibia,Maeiberg Fm.,1.8,0.70964,,,,70,68,1.03,0.61
P1012. 394.5,N. Namibia,Maeiberg Fm.,0,0.70971,,-1.7,-5.4,86,77,1.12,0.6
P4025. 19.1,N. Namibia,Ombaatjie Fm.,-33.1,0.71828,,-3.5,-10.3,95,295,0.32,0.01
P4025. 15.9,N. Namibia,Ombaatjie Fm.,-36.5,0.70812,,-1.6,-8,72,202,0.36,0.06
P4025. 14.1,N. Namibia,Ombaatjie Fm.,-38.3,0.71962,,-1.7,-5.5,40,150,0.26,0
P4006. 348.7,N. Namibia,Ombaatjie Fm.,-4.3,0.71099,,-3.8,-7.8,255,87,2.93,0.46
P4006. 346.6,N. Namibia,Ombaatjie Fm.,-6.4,0.70735,650,-5.9,-8.3,341,1099,0.31,0.01
P4006. 338.9,N. Namibia,Ombaatjie Fm.,-14.1,0.70786,,-4.2,-8,476,772,0.62,0.01
P4006. 336.1,N. Namibia,Ombaatjie Fm.,-16.9,0.70785,,-4.9,-8.1,254,755,0.34,0.01
P1012. 292,N. Namibia,Ombaatjie Fm.,-102.5,0.70725,663,8.3,-7.6,28,868,0.03,0
P1012. 309,N. Namibia,Ombaatjie Fm.,-85.5,0.70882,,8.3,-7.6,71,114,0.62,0.59
P1012. 323,N. Namibia,Ombaatjie Fm.,-71.5,0.70962,,8.4,-3.5,100,150,0.66,0.01
P1012. 333,N. Namibia,Ombaatjie Fm.,-61.5,0.70825,,4.5,-6.9,137,140,0.98,0
P1012. 344,N. Namibia,Ombaatjie Fm.,-50.5,0.70825,,6.8,-12.7,25,288,0.09,0.01
P1012. 350,N. Namibia,Ombaatjie Fm.,-44.5,0.70887,,6.2,-15.1,29,176,0.16,0.02
P1012. 370,N. Namibia,Ombaatjie Fm.,-24.5,0.71032,,5.1,-11.8,159,102,1.56,0.14
P1012. 386,N. Namibia,Ombaatjie Fm.,-8.5,0.70905,,6.2,-4.2,171,172,1,0.03