sample,region,formation,section,height,lithology,d13C,d13C_altered,d18O,Mn_ppm,Sr_ppm,Sr_ID,Fe_ppm,Mg/Ca,Ca/Sr,Mn/Sr,Fe/Sr,Rb/Sr,87Sr/86Sr,87Sr/86Sr_ac
K95-76,Turukhansk,S. Tung.,ST,321,ls,0.2,,-6.4,52,472,547,2741,0.06,524,0.11,6,0.0009,0.70588,
K95-77,Turukhansk,S. Tung.,ST,331,ls,1.3,,-5.9,25,610,,2837,0.03,481,0.04,5,,,
K95-78,Turukhansk,S. Tung.,ST,332,ls,1.2,,-6.7,19,494,,2178,0.02,484,0.04,4,,,
K95-79,Turukhansk,S. Tung.,ST,332,ls,1.5,,-6.6,17,388,687,3107,0.01,680,0.05,8,0,0.70611,
K95-80,Turukhansk,S. Tung.,ST,342,ls,2.3,,-6.7,20,802,,2694,0.01,370,0.03,3,,,
K95-81,Turukhansk,S. Tung.,ST,351,ls,1.9,,-6.2,17,517,,2425,0.06,561,0.03,5,,,
K95-82,Turukhansk,S. Tung.,ST,357,ls,,0.2,-10.6,,,,,,,,,,,
K95-82B,Turukhansk,S. Tung.,ST,357,ls,1.5,,-6.5,14,264,,1625,0.05,505,0.05,6,,,
K95-83,Turukhansk,S. Tung.,ST,361,ls,1.1,,-6.8,18,427,,2457,0.04,615,0.04,6,0.0001,,
K95-84,Turukhansk,S. Tung.,ST,371,ls,2.4,,-7.1,13,436,,2295,0.02,568,0.03,5,,,
K95-84A,Turukhansk,S. Tung.,ST,371,ls,2.4,,-7,,,,,,,,,,,
K95-85,Turukhansk,S. Tung.,ST,381,ls,1.7,,-7.1,9,545,,2697,0,540,0.02,5,,,
K95-86,Turukhansk,S. Tung.,ST,391,ls,3.2,,-7.1,,,918,,,,,,0,0.70571,
K95-87,Turukhansk,S. Tung.,ST,401,ls,2.6,,-7,,,,,,,,,,,
K95-88-1,Turukhansk,S. Tung.,ST,413,ls,1.1,,-7,27,255,,2807,0.02,1112,0.1,11,,,
K95-88-2,Turukhansk,S. Tung.,ST,413,ls,1.2,,-7,14,280,396,2508,0.02,973,0.05,9,0.0006,0.70567,
K95-90,Turukhansk,S. Tung.,ST,429,ls,3.3,,-7.1,14,335,,2639,0.01,803,0.04,8,,,
K95-95,Turukhansk,S. Tung.,ST,450,ls,1.4,,-7.7,22,250,312,2580,0.02,963,0.09,10,0.0027,0.70613,
T-35,Turukhansk,S. Tung.,CNTS,231,ls,2,,-7.1,,,,,0.09,,0.07,,,0.7056,
T-37,Turukhansk,S. Tung.,CNTS,387,ls,3,,-8.9,,,,,0.03,,0.05,,,0.70567,
T-38,Turukhansk,S. Tung.,CNTS,441,ls,2.3,,-9.8,,,,,0.01,,0.09,,,0.70585,
T-39,Turukhansk,S. Tung.,CNTS,474,ls,1.1,,-9.2,,,,,0.01,,0.19,,,0.70581,
T-52,Turukhansk,Derevnya,CNTS,1064,ls,1,,-9,,,,,0.02,,4.04,,,0.70614,
T-64,Turukhansk,Burovaya,CNTS,1897,ls,3.1,,-6.4,,,,,0.01,,0.04,,,0.70525,
T-66,Turukhansk,Burovaya,CNTS,2113,ls,0.3,,-8.2,,,,,0.02,,2.27,,,0.70599,
T-67,Turukhansk,Burovaya,CNTS,2159,ds,1.8,,-8.9,,,,,0.52,,4.8,,,,
K95-38,Turukhansk,Burovaya,KAM,997,ls,2.4,,-5.9,,,158,,,,,,0.0025,0.70641,
K95-39,Turukhansk,Burovaya,KAM,1022,ls,2.6,,-6.1,53,226,356,2617,0.02,1263,0.23,12,0.0009,0.70555,
K95-129/T-4,Turukhansk,Shorikha,MIR,-4,ds,1.4,,-4.5,53,23,,1759,0.59,4717,2.31,77,,,
K95-129/T-2,Turukhansk,Shorikha,MIR,-2,ds,1.3,,-4.4,73,36,,2376,0.56,3533,2.02,66,,,
K95-129/T-1,Turukhansk,Shorikha,MIR,-1,ds,1.3,,-4.1,104,27,,2732,0.61,4292,3.89,103,,,
K95-129/T,Turukhansk,Shorikha,MIR,0,ds,1.6,,-4.5,211,31,,3977,0.63,4637,6.79,128,,,
K95-140/T-4,Turukhansk,Shorikha,YEN,-4,ds,0.6,,-6.4,171,37,,3711,0.55,4282,4.61,100,,,
K95-140/T-2,Turukhansk,Shorikha,YEN,-2,ds,,,,236,47,,2795,0.42,3794,5.07,60,,,
K95-140/T,Turukhansk,Shorikha,YEN,0,ds,,,,235,34,,3302,0.49,4776,6.87,97,,,
K95-54,Turukhansk,Miroyedikha,KAM,0,ds,,0.8,-4,405,40,,1963,0.51,4317,10.12,49,,,
K95-51,Turukhansk,Miroyedikha,KAM,2,ds,,0.8,-4.3,379,34,,3035,0.57,4362,11.19,90,,,
K95-55,Turukhansk,Miroyedikha,KAM,6,ds,,1.1,-3.8,489,45,,2913,0.52,3215,10.98,65,,,
K95-52,Turukhansk,Miroyedikha,KAM,7,ds,,0.2,-6.9,1248,49,,4705,0.48,3415,25.36,96,,,
K95-56,Turukhansk,Miroyedikha,KAM,11,ds,,1.6,-3.5,480,319,,6633,0.35,263,1.5,21,,,
K95-57,Turukhansk,Miroyedikha,KAM,17,ds,,1.3,-5,918,36,,5375,0.49,4075,25.64,150,,,
K95-58,Turukhansk,Miroyedikha,KAM,24,ds,,1.2,-5.6,1125,30,,4650,0.59,3880,37.93,157,,,
K95-59,Turukhansk,Miroyedikha,KAM,32,ds,,1.6,-5.4,1974,28,,3628,0.55,5443,70.17,129,,,
K95-53,Turukhansk,Miroyedikha,KAM,45,ds,,2.3,-5.2,1453,23,,2724,0.5,6319,63.15,118,,,
K95-60,Turukhansk,Miroyedikha,KAM,,ds,,2.3,-5,1152,39,,2958,0.52,3602,29.89,77,,,
K95-129-0,Turukhansk,Miroyedikha,MIR,0,ds,1.6,,-3.8,159,45,,3341,0.61,2685,3.56,75,,,
K95-129-5,Turukhansk,Miroyedikha,MIR,5,ds,,,,,,,,,,,,,,
K95-129-10,Turukhansk,Miroyedikha,MIR,10,ds,1.8,,-3.8,280,46,,3978,0.55,3226,6.16,87,,,
K95-129-15,Turukhansk,Miroyedikha,MIR,15,ds,,,,,,,,,,,,,,
K95-129-20,Turukhansk,Miroyedikha,MIR,20,ds,1.5,,-5.2,,,,,,,,,,,
K95-129-25,Turukhansk,Miroyedikha,MIR,25,ds,,,,,,,,,,,,,,
K95-129-30,Turukhansk,Miroyedikha,MIR,30,ds,,1.3,-5.1,994,59,,12-646,0.41,2209,16.83,214,,,
K95-129-35,Turukhansk,Miroyedikha,MIR,35,ds,,,,,,,,,,,,,,
K95-129-40,Turukhansk,Miroyedikha,MIR,40,ls,0.8,,-8.4,,,,,,,,,,,
K95-129-45,Turukhansk,Miroyedikha,MIR,45,ls,,,,,,,,,,,,,,
K95-129-49,Turukhansk,Miroyedikha,MIR,49,ds,,1.2,-6.3,1731,54,,8633,0.44,2454,32.18,161,,,
K95-129-57,Turukhansk,Miroyedikha,MIR,57,ds,,0.6,-5.4,8050,56,,18-675,0.42,2416,144.72,336,,,
K95-129-129,Turukhansk,Miroyedikha,MIR,129,ls,,-1.1,-12.1,6412,83,,16-242,0.04,2854,77.16,195,,,
K95-129-135,Turukhansk,Miroyedikha,MIR,135,ds,,,,,,,,,,,,,,
K95-129-140,Turukhansk,Miroyedikha,MIR,140,ls,,,,649,126,169,4444,0.05,1887,5.15,35,0.0134,,
K95-129-149,Turukhansk,Miroyedikha,MIR,149,ls,1.9,,-5.2,513,99,130,14-611,0.29,1416,5.2,148,0.034,,
K95-129-155,Turukhansk,Miroyedikha,MIR,155,ls,,,,712,113,222,3984,0.11,1813,6.29,35,0.0181,,
K95-129-170,Turukhansk,Miroyedikha,MIR,170,ls,,-0.9,-13.2,253,125,,2322,0.02,2144,2.02,19,,,
K95-129-175,Turukhansk,Miroyedikha,MIR,175,ls,,,,131,120,210,2933,0.03,1907,1.09,24,0.0084,0.70753,
K95-129-180,Turukhansk,Miroyedikha,MIR,180,ls,2.5,,-8.1,,,124,,,,,,0.0018,0.70717,
K95-129-191,Turukhansk,Miroyedikha,MIR,191,ds,,1,-5.3,2870,77,,32-296,0.37,1923,37.35,420,,,
K95-129-195,Turukhansk,Miroyedikha,MIR,195,ls,,,,292,30,,5806,0.43,4974,9.66,192,,,
K95-140-0,Turukhansk,Miroyedikha,YEN,0,ds,2,,-2.3,178,29,,3058,0.53,4027,6.06,104,,,
K95-140-10,Turukhansk,Miroyedikha,YEN,10,ds,1.9,,-6.4,260,30,,4340,0.53,4171,8.71,146,,,
K95-140-20,Turukhansk,Miroyedikha,YEN,20,ds,,1.3,-5.1,391,34,,5091,0.44,4573,11.66,152,,,
K95-140-20,Turukhansk,Miroyedikha,YEN,20,ds,,1.5,-4.5,,,,,,,,,,,
K95-140-30,Turukhansk,Miroyedikha,YEN,30,ds,,0.6,-6.6,671,63,,8771,0.4,1917,10.61,139,,,
K95-140-38,Turukhansk,Miroyedikha,YEN,38,ls,1.2,,-7.7,349,56,112,3360,0.09,2287,6.19,60,0.0083,0.70793,
K95-140-38A,Turukhansk,Miroyedikha,YEN,38,ls,1.1,,-9.9,296,83,,3396,0.01,3216,3.58,41,,,
K95-140-48,Turukhansk,Miroyedikha,YEN,48,ds,1.7,,-7.4,,,,,,,,,,,
K95-140-126,Turukhansk,Miroyedikha,YEN,126,ls,,0.7,-10.2,,,,,,,,,,,
K95-140-128,Turukhansk,Miroyedikha,YEN,128,ls,,1.6,-9.7,3795,95,150,11-023,0.06,1930,39.86,116,0.033,,
K95-140-135,Turukhansk,Miroyedikha,YEN,135,ls,2.2,,-9.6,992,341,307,3340,0.03,1288,2.91,10,0.0021,0.70688,
K95-140-145,Turukhansk,Miroyedikha,YEN,145,ds,,,,224,42,,2217,0.41,4179,5.39,53,,,
K95-140-155,Turukhansk,Miroyedikha,YEN,155,ds,2.3,,-7,217,43,,2305,0.39,4020,5.05,54,,,
K95-140-168,Turukhansk,Miroyedikha,YEN,168,ds,2.4,,-5.4,459,51,,8455,0.36,2868,8.92,164,,,
K95-140-177,Turukhansk,Miroyedikha,YEN,177,ds,2,,-7.2,393,72,,6152,0.39,2336,5.5,86,,,
K95-139-1,Turukhansk,Turukhansk,MIR,1,ds,3.6,,-5.3,182,34,,3349,0.57,4594,5.34,98,,,
K95-139-9,Turukhansk,Turukhansk,MIR,9,ds,3.1,,-5.8,99,19,,2480,0.6,6718,5.31,134,,,
K95-139-17,Turukhansk,Turukhansk,MIR,17,ds,2.9,,-5.2,162,17,,4106,0.55,7572,9.46,240,,,
K95-139-25,Turukhansk,Turukhansk,MIR,25,ds,2.9,,-5.8,85,16,,2388,0.57,7291,5.47,154,,,
K95-139-35,Turukhansk,Turukhansk,MIR,35,ds,3.3,,-5.6,235,24,,2586,0.55,6796,9.73,107,,,
K95-139-45,Turukhansk,Turukhansk,MIR,45,ds,2.7,,-8.3,110,16,,2280,0.59,7574,6.97,144,,,
K95-139-55,Turukhansk,Turukhansk,MIR,55,ds,3.6,,-4.6,42,18,,1988,0.58,6750,2.31,109,,,
K95-139-65,Turukhansk,Turukhansk,MIR,65,ds,2.7,,-6.2,102,21,35,2097,0.58,4831,4.9,101,0.1139,,
K95-139-88,Turukhansk,Turukhansk,MIR,88,ds,3.4,,-8.5,171,36,,2169,0.54,4389,4.8,61,,,
K95-139-95,Turukhansk,Turukhansk,MIR,95,ds,3.4,,-5.4,99,22,,2664,0.53,6082,4.5,122,,,
K95-139-105,Turukhansk,Turukhansk,MIR,105,ds,2.9,,-5.2,61,17,,2189,0.55,7086,3.63,129,,,
K95-139-115,Turukhansk,Turukhansk,MIR,115,ds,3.3,,-5,64,21,,2825,0.61,5868,3.11,136,,,
K95-139-125,Turukhansk,Turukhansk,MIR,125,ds,3.3,,-5.4,58,17,,2207,0.59,6631,3.33,127,,,
K95-139-135,Turukhansk,Turukhansk,MIR,135,ds,,,,42,12,,1388,0.56,7178,3.53,117,,,
K95-139-145,Turukhansk,Turukhansk,MIR,145,ds,3.5,,-4.6,56,22,,2126,0.56,6533,2.52,95,,,
K95-142-1,Turukhansk,Turukhansk,YEN,1,ds,3,,-6.3,221,45,,3714,0.49,3589,4.96,83,,,
K95-142-10,Turukhansk,Turukhansk,YEN,10,ds,2.1,,-8.6,192,44,,2302,0.43,4006,4.34,52,,,
K95-142-20,Turukhansk,Turukhansk,YEN,20,ds,3,,-6.4,209,47,,2058,0.4,3787,4.48,44,,,
K95-142-30,Turukhansk,Turukhansk,YEN,30,ds,3,,-6.8,167,41,,2419,0.52,4127,4.05,59,,,
K95-142-40,Turukhansk,Turukhansk,YEN,40,ds,,,,202,29,,3386,0.57,4879,6.93,116,,,
K95-142-50,Turukhansk,Turukhansk,YEN,50,ds,2.8,,-7.6,182,2265,,2266,0.41,77,0.08,1,,,
K95-142-60,Turukhansk,Turukhansk,YEN,60,ds,2.9,,-6.5,281,45,,2917,0.46,3826,6.29,65,,,
K95-142-65,Turukhansk,Turukhansk,YEN,65,ds,2.6,,-8.3,149,20,,2721,0.54,6397,7.62,139,,,
K95-142-70,Turukhansk,Turukhansk,YEN,70,ds,,3.1,-6.1,482,34,,4237,0.51,5038,14.13,124,,,
K95-142-75,Turukhansk,Turukhansk,YEN,75,ds,,,,959,30,,6512,0.46,4038,31.82,216,,,
K95-142-104,Turukhansk,Turukhansk,YEN,104,ds,3.5,,-5.3,170,32,,2854,0.39,5576,5.28,89,,,
K95-142-114,Turukhansk,Turukhansk,YEN,114,ds,3.1,,-6.5,139,26,,2643,0.47,7113,5.44,103,,,
K95-142-124,Turukhansk,Turukhansk,YEN,124,ds,3.4,,-6.9,128,32,27,2458,0.6,5313,4.01,77,0.0068,,
K95-142-134,Turukhansk,Turukhansk,YEN,134,ds,,,,123,22,,2432,0.38,7920,5.56,110,,,
K95-142-144,Turukhansk,Turukhansk,YEN,144,ds,2.8,,-7.2,108,21,,1937,0.43,7874,5.14,92,,,
K95-142-154,Turukhansk,Turukhansk,YEN,154,ds,,3.1,-10.1,124,24,,1963,0.43,7431,5.09,81,,,
K95-142-164,Turukhansk,Turukhansk,YEN,164,ds,2.6,,-6.8,105,23,,2063,0.48,6695,4.62,91,,,
K95-142-174,Turukhansk,Turukhansk,YEN,174,ds,3.3,,-4.4,73,26,,1712,0.43,7116,2.85,66,,,
K95-142-187,Turukhansk,Turukhansk,YEN,187,ds,3.7,,-5.3,86,23,,1713,0.4,6680,3.77,75,,,
K95-142-197,Turukhansk,Turukhansk,YEN,197,ds,,,,180,32,,2744,0.52,5079,5.58,85,,,