section,section_strat,d13C,d18O,mineralogy,formation
S1,8.2,4.71,-5.45,Is,Wynniatt
S1,8.7,4.69,-4.36,Is,Wynniatt
S1,9.2,4.44,-5.57,Is,Wynniatt
S1,10.2,3.89,-7.14,Is,Wynniatt
S1,10.7,4.48,-7.44,Is,Wynniatt
S1,11.7,5.2,-6.57,Is,Wynniatt
S1,12.9,5.06,-6.65,Is,Wynniatt
S1,13.4,4.69,-7.45,Is,Wynniatt
S1,13.8,5.34,-6.27,Is,Wynniatt
S1,14.5,5.77,-5.89,Is,Wynniatt
S1,15.6,4.53,-8.57,Is,Wynniatt
S1,16.6,4.89,-7.59,Is,Wynniatt
S1,17.6,5.29,-6.89,Is,Wynniatt
S1,18.2,4.09,-9.46,Is,Wynniatt
S1,18.9,4.22,-8.7,Is,Wynniatt
S1,19.9,4.63,-5.97,Is,Wynniatt
S1,20.3,4.11,-4.63,Is,Wynniatt
S1,20.8,3.72,-4.45,Is,Wynniatt
S1,21.9,3.43,-5.08,Is,Wynniatt
S1,22.5,3.77,-2.55,Is,Wynniatt
S1,23.3,3.36,-5.08,Is,Wynniatt
S1,23.9,2.06,-9.69,Is,Wynniatt
S1,24.3,3.45,-6.09,Is,Wynniatt
S1,25.5,2.35,-10.57,Is,Wynniatt
S1,25.6,2.39,-10.87,Is,Wynniatt
S1,27.2,3.34,-12.74,Is,Wynniatt
S1,28.2,1.4,-12.72,Is,Wynniatt
S1,32.3,2.27,-11.44,Is,Wynniatt
S1,32.9,3.33,-8.91,dl,Wynniatt
S1,33.7,3.9,-7.77,dl,Wynniatt
S1,34.5,3.17,-9.45,dl,Wynniatt
S1,35.5,3.88,-7.69,dl,Wynniatt
S1,36.2,3.93,-8.07,dl,Wynniatt
S1,36.7,4.08,-7.83,dl,Wynniatt
S1,37.2,3.8,-7.91,dl,Wynniatt
S1,37.7,3.81,-7.71,dl,Wynniatt
S1,38.2,4.45,-5.92,dl,Wynniatt
S1,38.7,3.6,-7.56,dl,Wynniatt
S1,39.2,3.64,-6.94,dl,Wynniatt
S1,39.7,3.69,-6.48,dl,Wynniatt
S1,40.2,3.48,-6.81,dl,Wynniatt
S1,40.7,3.18,-9,dl,Wynniatt
S1,41.7,3.83,-7.46,dl,Wynniatt
S1,42.2,3.4,-8.96,dl,Wynniatt
S1,43.3,3.22,-9.11,Is,Wynniatt
S1,44.1,2.49,-9.23,dl,Wynniatt
S1,61.3,4.05,-4.54,dl,Wynniatt
S1,62.1,4.24,-3.88,dl,Wynniatt
S1,62.6,4.19,-4.26,dl,Wynniatt
S1,63.6,4.09,-4.52,dl,Wynniatt
S1,64.3,2.58,-9.02,Is,Wynniatt
S1,64.9,4.02,-5,Is,Wynniatt
S2,1.5,4.31,-5.25,Is,Wynniatt
S2,2.4,4.61,-3.8,Is,Wynniatt
S2,3,4.64,-2.91,Is,Wynniatt
S2,4,4.93,-3.85,Is,Wynniatt
S2,4.5,4.74,-2.92,Is,Wynniatt
S2,5.1,4.99,-3.13,Is,Wynniatt
S2,5.6,4.32,-2.77,Is,Wynniatt
S2,6.3,4.33,-1.59,Is,Wynniatt
S2,6.8,4.56,-1.52,Is,Wynniatt
S2,7.2,4.26,-3.84,Is,Wynniatt
S2,8.5,4.08,-3.95,Is,Wynniatt
S2,10.1,6.24,-6.45,Is,Wynniatt
S2,10.5,6.56,-5.82,Is,Wynniatt
S2,11,5.41,-5.53,Is,Wynniatt
S2,11.5,5.84,-6.47,Is,Wynniatt
S2,12,6.69,-6.03,Is,Wynniatt
S2,12.8,6.42,-6.31,Is,Wynniatt
S2,13.4,6.53,-6.38,Is,Wynniatt
S2,14.1,6.38,-6.64,Is,Wynniatt
S2,15.6,6.53,-6.77,Is,Wynniatt
S2,16.6,6.5,-6.77,Is,Wynniatt
S2,17.1,6.09,-6.57,Is,Wynniatt
S2,17.6,6.27,-6.8,Is,Wynniatt
S2,18,6.98,-6.89,Is,Wynniatt
S2,18.5,6.74,-6.6,Is,Wynniatt
S2,18.9,7.35,-5.25,Is,Wynniatt
S2,20.1,7.04,-5.3,Is,Wynniatt
S2,20.7,7.46,-5.28,Is,Wynniatt
S2,21.2,7.78,-5.12,Is,Wynniatt
S2,21.8,7.58,-5.08,Is,Wynniatt
S2,22.4,7.71,-5.7,Is,Wynniatt
S2,23.1,7.6,-5.6,Is,Wynniatt
S2,23.7,7.41,-5.29,Is,Wynniatt
S2,24.8,7.37,-5.27,Is,Wynniatt
S2,25.3,7.75,-5.49,Is,Wynniatt
S2,25.8,7.69,-5.2,Is,Wynniatt
S2,26.8,7.57,-5.35,Is,Wynniatt
S2,27.6,6.55,-6.38,Is,Wynniatt
S2,28.1,7.69,-5.59,Is,Wynniatt
S2,28.7,7.05,-7.09,Is,Wynniatt
S2,29.3,8.18,-5.83,Is,Wynniatt
S2,30,8.12,-6.01,Is,Wynniatt
S2,30.5,8.18,-5.76,Is,Wynniatt
S2,31,7.9,-6.11,Is,Wynniatt
S2,31.5,7.16,-6.46,Is,Wynniatt
S2,33.6,6.85,-6.18,Is,Wynniatt
S2,36.3,6.3,-6.27,Is,Wynniatt
S2,36.9,6.25,-6.23,Is,Wynniatt
S2,37.6,6.28,-6.37,Is,Wynniatt
S2,38.5,6.29,-6.51,Is,Wynniatt
S2,39.3,6.98,-6.68,Is,Wynniatt
S2,50.7,6.44,-6.46,Is,Wynniatt
S2,51.8,5.56,-6.74,Is,Wynniatt
S2,51.9,5.84,-7.41,Is,Wynniatt
S2,52.6,5.73,-6.96,Is,Wynniatt
S2,53.2,5.67,-7.2,Is,Wynniatt
S2,53.7,5.76,-7,Is,Wynniatt
S2,55,4.75,-7.65,Is,Wynniatt
S2,55.6,4.75,-7.43,Is,Wynniatt
S2,56.2,4.58,-7.6,Is,Wynniatt
S2,57,4.75,-7.59,Is,Wynniatt
S2,57.9,5.06,-7.58,Is,Wynniatt
S2,58.5,5.04,-7.52,Is,Wynniatt
S2,59.3,4.95,-7.95,Is,Wynniatt
S2,59.4,5.78,-7.12,Is,Wynniatt
S2,59.8,5.4,-7.22,Is,Wynniatt
S2,60.7,5.61,-7.15,Is,Wynniatt
S2,61.3,5.38,-7.16,Is,Wynniatt
S2,62.7,5.38,-7.33,Is,Wynniatt
S2,63.4,5.49,-6.87,Is,Wynniatt
S2,64.1,5.5,-7.14,Is,Wynniatt
S2,64.8,5.86,-6.39,Is,Wynniatt
S2,65.4,4.61,-7.62,Is,Wynniatt
S2,66,4.39,-8.37,Is,Wynniatt
S2,66.5,4.27,-9.51,Is,Wynniatt
S2,67.6,4.12,-9.1,Is,Wynniatt
S2,68.8,4.3,-8.7,Is,Wynniatt
S2,70,4.64,-9.28,Is,Wynniatt
S2,70.9,4.71,-9.49,Is,Wynniatt
S2,71.7,4.57,-9.48,Is,Wynniatt
S2,72.8,4.5,-9.39,Is,Wynniatt
S2,73.5,4.41,-9.28,Is,Wynniatt
S2,74.9,5.12,-8.21,Is,Wynniatt
S2,75.6,5.01,-8.17,Is,Wynniatt
S2,76.2,4.85,-8.21,Is,Wynniatt
S2,77.7,4.46,-7.87,Is,Wynniatt
S2,78.6,4.38,-8.13,Is,Wynniatt
S2,79.4,4.53,-8.27,Is,Wynniatt
S2,80.2,3.68,-9.21,Is,Wynniatt
S2,81.5,2.88,-9.21,Is,Wynniatt
S2,82.1,3.55,-9.17,Is,Wynniatt
S2,83.1,4.89,-8,Is,Wynniatt
S2,84.4,1.35,-11.48,Is,Wynniatt
S2,85.3,1.07,-11.31,Is,Wynniatt
S2,86.3,1.66,-10.05,Is,Wynniatt
S2,87.8,4.84,-8.99,Is,Wynniatt
S2,89,4.5,-9.03,Is,Wynniatt
S2,90,3.97,-9,Is,Wynniatt
S2,90.9,4.42,-8.7,Is,Wynniatt
S2,91,5.92,-8.22,Is,Wynniatt
S2,92,4.72,-10.03,Is,Wynniatt
S2,93.5,3.2,-11.07,Is,Wynniatt
S2,94.7,6.2,-8.54,Is,Wynniatt
S2,96,4.16,-9.71,Is,Wynniatt
S2,98,4.86,-9.26,Is,Wynniatt
S2,101,4.07,-8.42,Is,Wynniatt
S2,102,3.83,-6.71,Is,Wynniatt
S2,103.5,4.95,-5.26,Is,Wynniatt
S2,105,2.38,-9.47,Is,Wynniatt
S2,106.5,1.49,-11.8,Is,Wynniatt
S2,108.5,-4.15,-10.16,Is,Wynniatt
S2,110.3,-5.17,-10.61,Is,Wynniatt
S2,111.8,-0.65,-11.09,Is,Wynniatt
S2,114.5,-4.99,-10.28,Is,Wynniatt
S4,0.3,5.16,-5.53,dl,Wynniatt
S4,0.9,5.11,-5.69,dl,Wynniatt
S4,1.1,4.34,-6.61,dl,Wynniatt
S4,1.8,4.42,-5.91,dl,Wynniatt
S4,2.3,4.32,-5.85,dl,Wynniatt
S4,3,4.43,-6.01,dl,Wynniatt
S4,3.4,4.45,-5.32,dl,Wynniatt
S4,3.7,4.45,-5.86,dl,Wynniatt
S4,4.4,4.53,-6.19,dl,Wynniatt
S4,4.9,4.28,-6.53,dl,Wynniatt
S4,5.2,4.14,-6.32,dl,Wynniatt
S4,5.5,4.33,-5.69,dl,Wynniatt
S6,0.5,3.94,-4.64,Is,Wynniatt
S6,1,5.24,-7.83,Is,Wynniatt
S6,1.2,5.18,-7.82,Is,Wynniatt
S6,1.8,5.19,-8.49,Is,Wynniatt
S6,2.3,4.98,-8.31,Is,Wynniatt
S6,2.7,5.22,-8.31,Is,Wynniatt
S6,3.1,4.82,-8.25,Is,Wynniatt
S6,3.6,4.99,-8.12,Is,Wynniatt
S6,3.9,4.96,-7.89,Is,Wynniatt
S6,4.3,5.05,-8.06,Is,Wynniatt
S6,4.8,5.16,-7.45,Is,Wynniatt
S6,5.2,5.02,-7.19,Is,Wynniatt
S6,5.6,5.1,-7.11,Is,Wynniatt
S6,6.3,5.42,-7.3,Is,Wynniatt
S6,6.8,5.39,-7.39,Is,Wynniatt
S6,7.3,5.11,-7.1,Is,Wynniatt
S6,7.8,5.09,-7.07,Is,Wynniatt
S6,8.3,5.08,-7.11,Is,Wynniatt
S6,8.7,5.31,-6.95,Is,Wynniatt
S6,9.1,5.21,-6.9,Is,Wynniatt
S6,9.4,5.29,-6.7,Is,Wynniatt
S6,9.9,5.48,-6.69,Is,Wynniatt
S6,10.5,5.29,-6.55,Is,Wynniatt
S6,10.9,5.29,-6.75,Is,Wynniatt
S6,11.3,5.28,-6.62,Is,Wynniatt
S6,11.6,5.37,-6.72,Is,Wynniatt
S6,11.8,5.01,-6.37,Is,Wynniatt
S6,12.1,5.43,-6.68,Is,Wynniatt
S6,12.8,5.59,-6.4,Is,Wynniatt
S6,13.4,5.4,-6.68,Is,Wynniatt
S6,13.8,5.44,-6.69,Is,Wynniatt
S6,14.2,5.5,-6.69,Is,Wynniatt
S6,14.7,5.26,-6.78,Is,Wynniatt
S6,15,5.19,-6.7,Is,Wynniatt
S6,15.3,5.05,-7.17,dl,Wynniatt
S6,15.8,5.69,-7.18,Is,Wynniatt
S6,16.2,5.65,-6.6,Is,Wynniatt
S6,16.7,5.93,-6.32,Is,Wynniatt
S6,17.2,6.15,-6.73,Is,Wynniatt
S6,17.7,6.77,-6.47,Is,Wynniatt
S6,18.2,7.11,-6.15,Is,Wynniatt
S6,18.7,7.01,-6.07,Is,Wynniatt
S6,19.2,6.91,-6.53,Is,Wynniatt
S6,19.6,6.4,-6.5,Is,Wynniatt
S6,20.2,6.6,-6.53,Is,Wynniatt
S6,20.7,7.15,-6.34,Is,Wynniatt
S6,21.3,6.69,-6.75,Is,Wynniatt
S6,21.9,7.07,-6.45,Is,Wynniatt
S6,22.3,6.66,-6.63,Is,Wynniatt
S6,22.8,6.73,-6.54,Is,Wynniatt
S6,23.4,6.56,-6.77,Is,Wynniatt
S6,23.9,6.55,-7.52,Is,Wynniatt
S6,24.3,6.91,-6.72,Is,Wynniatt
S6,24.8,6.25,-6.6,Is,Wynniatt
S6,25.1,6.15,-6.78,dl,Wynniatt
S6,25.7,6.43,-7,Is,Wynniatt
S6,26.1,6.19,-6.56,Is,Wynniatt
S6,26.5,6.28,-6.93,Is,Wynniatt
S6,27,5.95,-7.75,Is,Wynniatt
S6,27.5,6.1,-7.73,Is,Wynniatt
S6,28,5.77,-7.63,Is,Wynniatt
S6,28.2,5.79,-7.53,Is,Wynniatt
S6,29.2,5.71,-6.54,Is,Wynniatt
S7,0.2,6.13,-5.86,Is,Wynniatt
S7,0.8,6.24,-5.19,Is,Wynniatt
S7,1.2,6.05,-5.19,Is,Wynniatt
S7,1.6,6.28,-5.67,Is,Wynniatt
S7,2.1,6.31,-5.76,Is,Wynniatt
S7,2.6,5.83,-6.11,Is,Wynniatt
S7,3.2,5.77,-5.96,Is,Wynniatt
S7,3.8,5.35,-6.21,Is,Wynniatt
S7,4.3,6.02,-6.69,Is,Wynniatt
S7,4.9,6.24,-6.49,Is,Wynniatt
S7,5.3,5.86,-6.31,Is,Wynniatt
S7,5.9,5.7,-7.6,Is,Wynniatt
S7,6.5,5.73,-7.76,Is,Wynniatt
S7,6.9,6.35,-6.32,Is,Wynniatt
S7,7.5,5.69,-7.49,Is,Wynniatt
S7,8,6.64,-5.69,Is,Wynniatt
S7,8.6,5.9,-6.37,Is,Wynniatt
S7,9.2,5.52,-7.72,Is,Wynniatt
S7,10,5.53,-6.27,Is,Wynniatt
S7,10.5,6.37,-5.8,Is,Wynniatt
S7,10.9,5.3,-7.91,Is,Wynniatt
S7,11.5,6.26,-6.46,Is,Wynniatt
S7,12,5.79,-7.24,Is,Wynniatt
S7,12.6,5.56,-7.26,Is,Wynniatt
S7,13.2,6.3,-5.64,Is,Wynniatt
S7,13.6,6.12,-5.8,Is,Wynniatt
S7,15.1,6.45,-5.15,Is,Wynniatt
S7,15.7,6.24,-6.28,Is,Wynniatt
S7,16.2,6.29,-6.16,Is,Wynniatt
S7,16.6,5.79,-6.42,Is,Wynniatt
S7,17.2,6.37,-5.57,Is,Wynniatt
S7,17.5,6.22,-5,Is,Wynniatt
S7,17.9,6.19,-4.87,Is,Wynniatt
S7,18.5,6.11,-4.7,Is,Wynniatt
S7,19,6.03,-5.19,Is,Wynniatt
S7,19.4,5.97,-5.02,Is,Wynniatt
S7,19.7,5.94,-5.06,Is,Wynniatt
S9,0.1,1.65,-9.19,Is,Kilian
S9,1.3,1.87,-10.12,Is,Kilian
S9,4.3,0.89,-10.42,Is,Kilian
S9,5,0.72,-10.31,Is,Kilian
S9,32.3,-0.41,-3.64,dl,Kilian
S9,33.3,0.42,-4.71,dl,Kilian
S9,35.5,0.74,-3.65,dl,Kilian
S9,35.9,0.76,-4.03,dl,Kilian
S9,36.4,1.06,-4.13,dl,Kilian
S9,38.7,0.55,-4.35,dl,Kilian
S9,50.3,1.96,-4.41,dl,Kilian
S9,50.8,1.37,-2.96,dl,Kilian
S9,52.2,-0.38,-2.95,dl,Kilian
S9,52.7,0.82,-3.75,dl,Kilian
S9,54.6,1.14,-4.28,dl,Kilian
S9,59.6,-1.99,-4.03,dl,Kilian
S9,66.4,-0.35,-3.19,dl,Kilian
S9,68.2,-1.69,-3.7,dl,Kilian
S9,73.2,-0.23,-3.52,dl,Kilian
S9,89,-2.5,-9.36,Is,Kilian
S9,89.5,-2.32,-11.57,Is,Kilian
S9,89.8,-3.51,-8.93,Is,Kilian
S9,90.3,-3.72,-9.96,Is,Kilian
S9,91.7,-4.06,-9.3,Is,Kilian
S9,92.2,-3.92,-9.39,Is,Kilian
S10,1.6,6.51,-5.75,Is,Wynniatt
S10,2.3,6.04,-5.78,Is,Wynniatt
S10,3,6.32,-5.67,Is,Wynniatt
S10,3.6,6.3,-5.95,Is,Wynniatt
S10,4.2,6.16,-5.79,Is,Wynniatt
S10,4.8,6.1,-5.91,Is,Wynniatt
S10,5.3,5.86,-6.37,Is,Wynniatt
S10,5.8,6.2,-6.2,Is,Wynniatt
S10,6.4,6.11,-6.04,Is,Wynniatt
S10,7,6.56,-5.97,Is,Wynniatt
S10,9.2,6.18,-5.74,Is,Wynniatt
S10,9.8,6.29,-6.18,Is,Wynniatt
S10,10.4,6.55,-6.07,Is,Wynniatt
S10,10.9,7.04,-5.99,Is,Wynniatt
S10,12.1,7.15,-5.7,Is,Wynniatt
S11,0.2,6.03,-7.44,Is,Wynniatt
S11,0.7,6.28,-7.38,Is,Wynniatt
S11,1.3,6.77,-7.09,Is,Wynniatt
S11,2,7.3,-7.04,Is,Wynniatt
S11,3,7.18,-7.11,Is,Wynniatt
S11,3.7,7.49,-6.9,Is,Wynniatt
S11,4.7,7.77,-6.69,Is,Wynniatt
S11,5.3,7.96,-6.42,Is,Wynniatt
S11,5.8,7.28,-6.5,Is,Wynniatt
S11,6.6,7.71,-6.64,Is,Wynniatt
S11,7.1,7.55,-6.59,Is,Wynniatt
S11,7.7,7.31,-6.52,Is,Wynniatt
S11,8.2,7.6,-6.54,Is,Wynniatt
S11,8.6,7.44,-6.48,Is,Wynniatt
S14,6,1.95,-9.53,Is,Wynniatt
S14,6.8,2.53,-9.51,Is,Wynniatt
S14,7.4,2.75,-9.3,Is,Wynniatt
S14,8.2,3.17,-9.06,Is,Wynniatt
S14,8.9,3.04,-7.7,Is,Wynniatt
S14,11.7,4.76,-4.54,dl,Wynniatt
S14,12.6,4.43,-5.32,dl,Wynniatt
S14,13.4,4.02,-5.32,Is,Wynniatt
S14,14.1,4.12,-3.76,dl,Wynniatt
S14,16.4,6.46,-6.4,Is,Wynniatt
S14,17.1,6.34,-6.4,Is,Wynniatt
S14,17.7,6.1,-6.54,Is,Wynniatt
S14,18.4,6.56,-6.26,Is,Wynniatt
S14,19.1,6.76,-6.28,Is,Wynniatt
S14,20,6.5,-6.66,Is,Wynniatt
S14,20.8,6.44,-6.51,Is,Wynniatt
S14,21.6,6.48,-6.45,Is,Wynniatt
S14,22.2,6.37,-7.14,Is,Wynniatt
S14,23.1,6.14,-5.73,Is,Wynniatt
S14,23.9,7.01,-5.76,Is,Wynniatt
S14,24.7,5.35,-5.74,Is,Wynniatt
S14,25.5,6.68,-5.86,Is,Wynniatt
S14,26.4,7.31,-5.64,Is,Wynniatt
S14,27.2,7.42,-6.55,Is,Wynniatt
S14,27.9,7.32,-6.04,Is,Wynniatt
S14,28.7,7.22,-6.22,Is,Wynniatt
S14,29.4,7.31,-6.14,Is,Wynniatt
S14,30.2,7.26,-5.84,Is,Wynniatt
S14,31,7.56,-5.91,Is,Wynniatt
S14,31.8,7.63,-6.28,Is,Wynniatt
S14,32.6,7.84,-6.44,Is,Wynniatt
S14,33.4,7.91,-6.1,Is,Wynniatt
S14,34.2,7.08,-6.91,Is,Wynniatt
S14,35.1,6.82,-6.53,Is,Wynniatt
S14,35.8,6.82,-6.34,Is,Wynniatt
S14,36.5,6.86,-5.99,Is,Wynniatt
S14,37.2,6.86,-6,Is,Wynniatt
S14,37.9,6.2,-6.3,Is,Wynniatt
S14,38.7,6.07,-6.31,Is,Wynniatt
S14,39.4,6.84,-6.12,Is,Wynniatt
S14,40.2,6.17,-6.05,Is,Wynniatt
S14,40.9,5.99,-6.06,Is,Wynniatt
S14,41.5,6.67,-6.45,Is,Wynniatt
S14,42.2,6.81,-5.49,Is,Wynniatt
S14,42.9,6.13,-5.47,Is,Wynniatt
S14,43.6,5.93,-5.71,Is,Wynniatt
S14,44.3,5.97,-5.72,Is,Wynniatt
S14,45,6.78,-6.3,Is,Wynniatt
S14,45.7,6.34,-6.38,Is,Wynniatt
S14,46.6,5.57,-6.77,Is,Wynniatt
S14,47.4,5.95,-7.2,Is,Wynniatt
S14,48.1,5.39,-7.2,Is,Wynniatt
S14,48.8,4.76,-7.15,Is,Wynniatt
S14,49.4,4.86,-8.05,Is,Wynniatt
S14,50.1,5.08,-7.8,Is,Wynniatt
S14,50.8,5.13,-7.78,Is,Wynniatt
S14,51.5,5.25,-7.79,Is,Wynniatt
S14,52.2,5.35,-7.45,Is,Wynniatt
S14,52.9,5.47,-7.26,Is,Wynniatt
S14,53.5,5.13,-7.26,Is,Wynniatt
S14,54.3,5.51,-7.31,Is,Wynniatt
S14,55,5.4,-7.34,Is,Wynniatt
S14,55.7,5.67,-7.23,Is,Wynniatt
S14,55.7,5.6,-7.27,Is,Wynniatt
S14,56.4,5.53,-7.14,Is,Wynniatt
S14,57.2,5.53,-7.18,Is,Wynniatt
S14,57.9,5.35,-7.47,Is,Wynniatt
S14,58.6,5.4,-7.29,Is,Wynniatt
S14,59,5.85,-6.14,dl,Wynniatt
S14,59.7,4.94,-7.46,Is,Wynniatt
S14,60.3,4.67,-7.85,Is,Wynniatt
S14,60.5,4.8,-7.85,Is,Wynniatt
S14,61.3,4.51,-7.94,Is,Wynniatt
S14,62,4.3,-8.32,Is,Wynniatt
S14,63.4,4.23,-8.67,Is,Wynniatt
S14,64.1,4.32,-8.47,Is,Wynniatt
S14,64.8,4.39,-8.51,Is,Wynniatt
S14,65.6,4.47,-8.83,Is,Wynniatt
S14,66.3,4.75,-8.87,Is,Wynniatt
S14,67.1,4.89,-8.05,Is,Wynniatt
S14,67.8,5.26,-7.69,Is,Wynniatt
S14,68.5,5.3,-7.78,Is,Wynniatt
S14,68.5,5.27,-7.8,Is,Wynniatt
S14,69.2,4.75,-9.38,Is,Wynniatt
S14,69.2,4.73,-9.39,Is,Wynniatt
S14,69.8,4.98,-8.16,Is,Wynniatt
S14,69.8,4.96,-8.16,Is,Wynniatt
S15,0.8,2.24,-8.07,Is,Aok
S15,1.2,2.19,-8.86,Is,Aok
S15,2.1,2.48,-8.18,Is,Aok
S15,4.1,2.04,-9.36,Is,Aok
S15,4.1,2.01,-9.38,Is,Aok
S15,5.3,2.28,-7.69,Is,Aok
S15,6.1,2.38,-8.63,Is,Aok
S15,7.3,2.4,-9.2,Is,Aok
S15,8.8,2.1,-8.81,Is,Aok
S15,9.5,2.3,-9.21,Is,Aok
S15,10.3,2.15,-9.51,Is,Aok
S15,11.6,2.3,-9.1,Is,Aok
S15,12.4,2.36,-9.18,Is,Aok
S15,13.3,2.94,-8.37,Is,Aok
S15,14,2.67,-8.02,Is,Aok
S15,15.8,1.96,-7.29,Is,Aok
S15,16.6,2.01,-7.24,Is,Aok
S15,17.2,2.14,-7.08,Is,Aok
S15,18.3,1.99,-7.41,Is,Aok
S15,19.1,2.12,-7.51,Is,Aok
S15,20.4,2.52,-7.19,Is,Aok
S15,21.5,2.7,-8.14,Is,Aok
S15,22.1,2.61,-7.34,Is,Aok
S15,23.4,2.79,-7.87,Is,Aok
S15,24.8,3.15,-7.14,Is,Aok
S15,25.4,3.1,-7.78,Is,Aok
S15,26.5,3.12,-7.94,Is,Aok
S16,0.9,4.16,-8.15,Is,Boot Inlet
S16,1.6,4.19,-8.28,Is,Boot Inlet
S16,2.6,4.34,-7.96,Is,Boot Inlet
S16,3.3,4.3,-7.94,Is,Boot Inlet
S16,4.1,4.2,-7.99,Is,Boot Inlet
S16,5.3,4.16,-7.98,Is,Boot Inlet
S16,6.5,4.18,-7.75,Is,Boot Inlet
S16,7.4,4.22,-7.82,Is,Boot Inlet
S16,8.1,3.8,-7.89,Is,Boot Inlet
S16,17.2,4.23,-7.2,Is,Boot Inlet
S16,19.2,4.61,-7.43,Is,Boot Inlet
S16,20.1,4.75,-8.19,Is,Boot Inlet
S16,22.3,4.57,-8.57,Is,Boot Inlet
S16,29.5,0.94,-9.05,Is,Boot Inlet
S16,31,0.63,-9.24,Is,Boot Inlet
S16,32.3,3.63,-8.23,Is,Boot Inlet
S16,33.6,4.73,-8.42,Is,Boot Inlet
S16,34.4,4.77,-7.92,Is,Boot Inlet
S16,40.8,5.02,-6.14,Is,Boot Inlet
S16,41.7,5.09,-6.09,Is,Boot Inlet
S16,42.5,5.06,-6.96,Is,Boot Inlet
S16,43.2,5.01,-7.17,Is,Boot Inlet
S16,44.9,4.87,-6.39,Is,Boot Inlet
S16,45.6,4.43,-6.57,Is,Boot Inlet
S16,46.5,4.56,-5.85,Is,Boot Inlet
S16,48.6,4.73,-7.71,Is,Boot Inlet
S16,49.9,4.62,-7.55,Is,Boot Inlet
S16,50.8,4.56,-7.11,Is,Boot Inlet
S16,51.7,4.64,-6.97,Is,Boot Inlet
S16,52.8,4.21,-7.47,Is,Boot Inlet
S16,54.9,4.43,-7.18,Is,Boot Inlet
S16,55.3,4.46,-7.36,Is,Boot Inlet
S16,56.5,4.07,-8.13,Is,Boot Inlet
S16,58.9,4.4,-7.14,Is,Boot Inlet
S16,59.7,4.18,-6.74,Is,Boot Inlet
S16,60.8,4.08,-7.33,Is,Boot Inlet
S16,61.4,3.25,-6.77,Is,Boot Inlet
S16,62.4,3.4,-7.38,Is,Boot Inlet
S16,63.2,3.71,-6.48,Is,Boot Inlet
S16,64.3,3.48,-6.65,Is,Boot Inlet
S16,65.1,3.77,-6.55,Is,Boot Inlet
S16,66,3.97,-7.44,Is,Boot Inlet
S16,67.1,4.26,-6.79,Is,Boot Inlet
S16,68,4.2,-6.32,Is,Boot Inlet
S16,69,4.25,-6.89,Is,Boot Inlet
S16,79.7,4.25,-5.95,Is,Boot Inlet
S16,81.7,4.87,-5.82,Is,Boot Inlet
S16,83,4.78,-6.42,Is,Boot Inlet
S16,85.8,4.33,-6.46,Is,Boot Inlet
S16,89,4.08,-5.85,Is,Boot Inlet
S16,91.5,3.97,-6.98,Is,Boot Inlet
S16,92.9,3.83,-6.66,Is,Boot Inlet
S16,95.9,3.93,-6.27,Is,Boot Inlet
S16,97.7,3.5,-6.42,Is,Boot Inlet
S16,100,3.85,-5.47,Is,Boot Inlet
S16,104,3.8,-5.6,Is,Boot Inlet
S16,110,4.57,-6.33,Is,Boot Inlet
S16,114.3,4.59,-6.94,Is,Boot Inlet
S16,116.1,4.69,-5.29,Is,Boot Inlet
S16,119.4,4.9,-6.75,Is,Boot Inlet
S16,122.9,5.38,-6.45,Is,Boot Inlet
S16,124,4.98,-6.54,Is,Boot Inlet
S16,129.3,4.38,-7.69,Is,Boot Inlet
S16,131,4.66,-7.37,Is,Boot Inlet
S16,132.4,4.42,-7.15,Is,Boot Inlet
S16,133.5,4.39,-6.83,Is,Boot Inlet
05RAT53,0,-2.83,-11.58,,Kilian
05RAT53,3,-2.97,-9.5,,Kilian
05RAT53,6,-3.17,-8.56,,Kilian
05RAT53,9,-4.2,-8.13,,Kilian
05RAT53,12,-4.14,-8.15,,Kilian
05RAT53,27,-3.55,-7.46,,Kilian
05RAT53,29,-3.53,-7.65,,Kilian
05RAT53,35,-2.71,-7.61,,Kilian
05RAT53,38,-2.47,-7.67,,Kilian
05RAT53,41,-1.21,-7.55,,Kilian
05RAT53,44,-2.05,-7.53,,Kilian
05RAT53,51,-2.13,-5.98,,Kilian
05RAT53,60,-3.67,-4.89,,Kilian
05RAT53,64,-2.96,-5.05,,Kilian
05RAT53,67,-2.68,-4.87,,Kilian
05RAT53,69,-2.91,-4.98,,Kilian
05RAT53,90,-1.07,-4.36,,Kilian
05RAT53,93,-0.84,-4.78,,Kilian
05RAT53,96,-1.37,-4.25,,Kilian