section,sample name,mts_mtx,height,d13C,d18O,Sr/Ca,Sr/Ca_mmol/mol,d44_40Ca
T40,0.4,mtx,0.4,0.766,-0.814,0.000913766,0.913766078,-1.093435628
T40,10.3,mtx,10.3,0.744,0.217,0.000816016,0.816016145,-1.092716997
T40,21.5,mtx,21.5,0.788,0.443,0.001083002,1.083002214,-1.004390553
T40,40.2,mtx,40.2,1.925,-1.175,0.000660316,0.660316389,-0.583222447
T40,44.1,mtx,44.1,2.032,-0.823,0.001051241,1.051241421,-0.758566141
T40,106.4,mtx,106.4,-3.53,-11.527,0.000293696,0.293695791,-1.424737811
T40,113.1,mtx,113.1,4.127,-6.634,0.001624325,1.624325008,-1.430938497
T40,115,mtx,115,4.716,-7.987,0.00218584,2.185839681,-1.260133179
T40,116.7,mtx,116.7,5.565,-4.78,0.001506552,1.506551705,-1.386355396
T40,120,mtx,120,5.968,-6.862,0.001310845,1.310845455,-1.576080947
T40,123.5,mtx,123.5,5.2,-7.645,0.001423892,1.42389193,-1.562327881
T40,126.1,mtx,126.1,7.059,-4.705,0.001623023,1.623022732,-1.550968874
T40,128.3,mtx,128.3,6.85,-5.726,0.001664306,1.664305696,-1.476683823
T40,130.6,mtx,130.6,7.22,-6.392,0.002479696,2.479696173,-1.791444625
T40,133.3,mtx,133.3,5.267,-7.721,0.001834919,1.834918906,-1.46250047
T40,134.4,mtx,134.4,7.005,-4.483,0.001025387,1.025386645,-1.410019226
T40,135.7,mtx,135.7,6.598,-4.808,0.00191123,1.9112298,-1.417404722
T40,146.1,mtx,146.1,5.677,-6.485,0.003617816,3.617816451,-1.417106245
T40,149.6,mtx,149.6,4.176,-7.718,0.003882907,3.882906777,-1.559397183
T40,153.4,mtx,153.6,5.512,-6.214,0.002551639,2.551638768,-1.505119448
T40,159.3,mtx,159.5,4.612,-7.314,0.004135676,4.135676228,-1.460477812
T40,167,mtx,167.2,5.339,-4.853,0.002412747,2.412747348,-1.693703253
T40,172.9,mtx,173.1,4.12,-9.075,0.003261427,3.261427123,-1.481238225
T40,180.7,mtx,180.9,5.719,-5.982,0.003596156,3.596156011,-1.650032441
T40,189,mtx,189.2,6.463,-5.244,0.003099544,3.099544158,-1.100712677
T40,193.8,mtx,194,6.727,-4.748,,,-1.231304519
T40,194.5,mtx,194.7,6.719,-5.226,0.003247334,3.247334347,-1.426178243
T40,202.1,mtx,202.3,6.701,-2.889,0.002234932,2.234932165,-1.54141689
T40,208,mtx,208.2,5.819,-4.715,0.002023499,2.023499499,-1.642020489
T40,216.5,mtx,216.7,6.892,-5.525,0.000855265,0.855265248,-1.382080408
T40,223.6,mtx,223.8,6.428,-3.435,0.001952203,1.952203166,-1.461424346
T40,230.5,mtx,230.7,7.109,-5.539,0.001615833,1.615832821,-1.500228302
T40,232.1,mts,232.3,7.078,-4.086,0.001585278,1.585278026,-1.584681233
T40,232.1,mtx,232.3,6.816,-4.242,0.002159996,2.159996139,-1.513189365
T40,249.8,mts,250,6.446,-6.042,0.003319415,3.31941509,-1.490655387
T40,262.1,mts,262.2,6.384,-3.209,0.000579338,0.579337941,-1.566914712
T40,262.1,mtx,262.2,6.457,-8.115,0.001299919,1.299918949,-1.523314135
T40,277.9,mts,278,2.27,-11.982,0.000976755,0.976755,-1.556361319
T40,277.9,mtx,278,3.932,-7.289,0.001387797,1.387797398,-1.371137814
T40,293.6,mts,293.6,4.64,-6.179,0.000567099,0.567099332,-1.407782632
T40,293.6,mtx,293.6,4.683,-3.849,0.000396668,0.396667846,-1.3013635
T40,304.7,mtx,304.7,5.814,0.557,0.000310591,0.310591405,-0.765826524
T40,327.1,mts,327.1,3.409,0.147,0.00034753,0.347530226,-1.322863811
T40,327.1,mtx,327.1,3.329,0.131,0.000578761,0.578760553,-1.516569822
T40,341.8,mts,341.8,2.745,-6.26,0.000445193,0.445193198,-1.397073015
T40,341.8,mtx,341.8,5.449,-6.326,0.001813076,1.813075934,-1.481079074
T40,349.6,mtx,349.6,3.721,-6.737,0.001835557,1.835556768,-1.510969053