r,g,b,GRAIN_SIZE,,width,GRAIN_SIZE
200,100,255,br,,1,br
255,255,255,cover,,0.2,cover
255,240,0,css,,0.8,css
255,200,175,di,,1,di
255,240,0,fss,,0.6,fss
248,169,85,gr,,0.8,gr
200,100,255,icb,,1,icb
190,190,190,m,,0.9,m
208,35,42,mi,,1,mi
255,240,0,mss,,0.7,mss
90,220,140,olt,,0.8,olt
255,222,189,R,,0.8,R
13,175,75,st,,0.8,st
139,139,139,sts,,0.4,sts
56,134,198,ri,,0.5,ri
119,136,187,sts-ri,,0.4,sts-ri
119,136,187,ri-sts,,0.5,ri-sts
255,240,0,vcss,,0.8,vcss
255,240,0,ccg,,1,ccg
255,240,0,pcg,,0.9,pcg
255,200,175,dicss,,1,dicss
255,240,0,gcg,,0.9,gcg
255,240,0,bcg,,1,bcg
119,136,187,sts-gr,,0.4,sts-gr
0,0,0,bs,,0.4,bs
119,136,187,gr-sts,,0.5,gr-sts
255,240,0,vfss,,0.5,vfss
250,190,220,tuff,,0.5,tuff
255,225,210,gw,,1,gw
140,140,140,mves,,0.7,mves
255,240,0,sst,,0.7,sst
255,240,0,cgl,,1,cgl
90,90,90,ves,,0.5,ves
139,139,139,sts-mss,,0.4,sts-mss
255,240,0,css-sts,,0.8,css-sts
255,240,0,mss-sts,,0.7,mss-sts
119,136,187,ml,,0.4,ml
190,190,190,ig,,0.9,ig
250,220,220,rhy,,0.7,rhy
90,90,90,amyg,,0.5,amyg
119,136,187,fss-gr,,0.4,fss-gr
248,169,85,gr-ri,,0.8,gr-ri
139,139,139,sts-fss,,0.4,sts-fss
255,240,0,fss-sts,,0.6,fss-sts
139,139,139,sts-css,,0.4,sts-css
255,240,0,gcg-sts,,0.9,gcg-sts
255,240,0,fss-pcg,,0.6,fss-pcg
255,240,0,fss-gcg,,0.6,fss-gcg
255,240,0,pcg-fss,,0.9,pcg-fss
56,134,198,ri-gr,,0.5,ri-gr
119,136,187,ri-ml,,0.4,ri-ml
13,175,75,st-gr,,0.8,st-gr
13,175,75,gr-st,,0.8,gr-st
0,0,0,bs-sts,,0.4,bs-sts
255,200,175,di1,,1,di1
255,200,175,di2,,1,di2
56,134,198,ri-icb,,0.5,ri-icb
119,136,187,ml-R,,0.4,ml-R
119,136,187,sts-R,,0.4,sts-R
119,136,187,R-sts,,0.5,R-sts
200,100,255,icb-ri,,1,icb-ri
119,136,187,R-ml,,0.5,R-ml
119,136,187,sts-ml,,0.4,sts-ml
139,139,139,sts-bs,,0.4,sts-bs
200,100,255,icb-gr,,1,icb-gr
200,100,255,icb-olt,,1,icb-olt
119,136,187,ml-ri,,0.4,ml-ri
255,200,175,di3,,1,di3
90,220,140,olt-gr,,0.8,olt-gr
119,136,187,bs-ml,,0.4,bs-ml
119,136,187,gr-fss,,0.5,gr-fss
119,136,187,gr-ml,,0.5,gr-ml
119,136,187,ml-gr,,0.4,ml-gr
119,136,187,bs-gr,,0.4,bs-gr
248,169,85,gr-icb,,0.8,gr-icb
250,190,220,sill,,1,sill
139,139,139,shl,,0.4,shl
250,190,220,dyke,,1,dyke
10,66,207,rh,,0.4,rh
0,0,0,ch,,0.7,ch
0,0,0,beefcalcite,,0.5,beefcalcite
90,90,90,vesicular,,0.5,vesicular
139,139,139,slt,,0.4,slt
119,136,187,shl-ri,,0.4,shl-ri
119,136,187,ri-shl,,0.5,ri-shl
250,220,220,rhyolite,,0.7,rhyolite
119,136,187,gr-shl,,0.5,gr-shl
119,136,187,shl-gr,,0.4,shl-gr
255,240,0,gss,,0.7,gss
119,136,187,shl-R,,0.4,shl-R
119,136,187,R-shl,,0.5,R-shl